text,R1,R2,R3,final_label
bakit dahil kay [Entity_A] madilim ang kanyang advertisment,Negative,Negative,Negative,Negative
BAKIT TATAKBO SI [Entity_A]?! BAKA MAGHATI SILA NI [Entity_B] AT SI [Entity_C] PA ANG MANALO,Negative,Negative,Negative,Negative
Pero try to reach out also to those walang social media. Most na tinanong ko kay [Entity_A] sila...Pro-active na tayo [Entity_B],Neutral,Neutral,Neutral,Neutral
[Entity_A] said [Entity_B] and [Entity_C] camps didn't approach him since he filed cases against some of their members.,Neutral,Neutral,Neutral,Neutral
Watch: Actual VCM Printed [Entity_A] Automatically When Voting Other President Candidate! ~ ThePadder,Neutral,Neutral,Neutral,Neutral
Selfish [Entity_A] inuuna ang pansariling interest kumoara sa kapakanan ng bayan. [Entity_B] TANDEM LET'S GO,Negative,Negative,Negative,Negative
The camp of the VP maintained that the alleged evidence presented against [Entity_A] were merely hearsay. | via ANC,Neutral,Neutral,Neutral,Neutral
"[Entity_A]: Kung iba ang mauupo sa pagkapangulo...di magkakaroon ng pagbabago, di giginhawa ang buhay ng masang Pilipino.",Neutral,Neutral,Neutral,Neutral
[Entity_A] is so ill informed.Mindanao problem s not a socio economic problem but a cultural problem! Research pg may time,Negative,Negative,Negative,Negative
Buhat bangko yung commercial ni [Entity_A]. ??????????????????????,Negative,Negative,Negative,Negative
Literal na [Entity_A] ang nakita ko,Neutral,Neutral,Neutral,Neutral
Bakit dahil kay [Entity_A] nakilala kaming mga [Entity_A]?,Negative,Negative,Negative,Negative
"I think, [Entity_A] is hungry for power.",Negative,Negative,Negative,Negative
I dont know what will happen to our country if our president is [Entity_A],Negative,Negative,Negative,Negative
Sawang sawa na ko sa commercial ni [Entity_A] ??,Negative,Negative,Negative,Negative
"why is abscbn making [Entity_A] as the good example for filipinos, the hope of the people... wait, lets talk abt yolanda funds..",Negative,Negative,Negative,Negative
RT kamuka ni Kokey yan si [Entity_A],Neutral,Neutral,Negative,Negative
"Kung ang eleksyon ay isang show, title nito at FacePositiveFace. Si [Entity_A] ang isinusumbong. [Entity_B], [Entity_C] at [Entity_D] ang nagsumbong.Si [Entity_E] ang sawsawero.",Negative,Negative,Negative,Negative
Wag natin kalimutan isupport si [Entity_A],Positive,Positive,Positive,Positive
"Hindi pa man nakakaupo, may 5 plunder cases nang nailatag kay [Entity_A].",Negative,Negative,Negative,Negative
putangina mo [Entity_A] wag mo kami idamay sa [Entity_A] na yan,Negative,Negative,Negative,Negative
Panay [Entity_A] commercial aba. Ginawang asal ??,Negative,Negative,Negative,Negative
Bakit puro kayo Sandro? Pano naman yung anak ni [Entity_A]? Hahahaha cge sakin nalang sya ??,Positive,Neutral,Negative,Negative
Pati nanay mo [Entity_A] trip mo narin wtf dinamay mo pa ?? hiya ka naman uy ??,Negative,Negative,Negative,Negative
"[Entity_A], puro ka hometown mo. Ano'ng nagawa mo sa anim na taon mo sa posisyon mo?",Negative,Negative,Negative,Negative
"hmmm either [Entity_A] o [Entity_B] lang president ko. Vice ko, either [Entity_C] or [Entity_D].",Positive,Positive,Positive,Positive
mga maala [Entity_A] nga. HAHHAAH.,Neutral,Neutral,Neutral,Neutral
Sana di nalang paulit ulit yung binabato nila kay [Entity_A] para nakaka move on tayo lahat,Negative,Negative,Negative,Negative
"Interview pa lang ni [Entity_A] walang isip-isip sa pagsagot, hindi tulad ni [Entity_B]! Haha",Negative,Negative,Negative,Negative
"I really hope the voting public bothered to witness this debate. If you're still voting for [Entity_A] or [Entity_B], then idk anymore.",Negative,Negative,Negative,Negative
The Information against [Entity_A] will be filed after the expiration of his term as Vice President. | via,Negative,Neutral,Neutral,Neutral
[Entity_A] cuts short Ilocos trip to prepare for Positivend presidential debate,Neutral,Neutral,Neutral,Neutral
[Entity_A]! wala na ba? ??????,Negative,Negative,Negative,Negative
Bakit di man lang maitelevised ng ABSCBN yung problema na [Entity_A] yung votes pero sa receipts [Entity_A]. BIAS TLAAGA,Negative,Negative,Negative,Negative
[Entity_A] to raise issue vs [Entity_B] if admin uses corruption vs [Entity_C] |,Neutral,Neutral,Neutral,Neutral
"What saddens me most is that [Entity_A], [Entity_B] and [Entity_C] placed higher than [Entity_D]. You're really not afraid of a dying country.",Negative,Negative,Negative,Negative
[Entity_A]. yan si [Entity_A] asawa ni binoy ????????,Neutral,Neutral,Neutral,Neutral
Pagkatapos ng [Entity_A] [Entity_A] naman ngayon. Srsyly [Entity_A] ??,Negative,Negative,Negative,Negative
"[Entity_A], dinalaw ang mga naapektuhan ng bagyong Lando sa Isabela | via Bombo Radyo",Neutral,Neutral,Neutral,Neutral
RT It will just be [Entity_A] vs [Entity_B] for me. Credibility vs Willpower. Debates will tell.,Neutral,Neutral,Neutral,Neutral
tricky pol ads of cagey [Entity_A],Negative,Negative,Negative,Negative
Presidential bet [Entity_A] now faces allegations on vote buying in Baguio City.,Negative,Negative,Negative,Negative
Gwapo naman lagi ni [Entity_A] eh hahahaha,Positive,Positive,Positive,Positive
Palace to [Entity_A]: Check out [Entity_B]'s numbers,Negative,Neutral,Neutral,Neutral
5M for [Entity_A]. hay. tapos si [Entity_B] Positive.9M.,Negative,Negative,Negative,Negative
"Wala din akong kinakalabang kandidato. I share posts on [Entity_A], [Entity_B], [Entity_C], [Entity_D], and [Entity_E]. Alphabetical ka 'yan para fair. ??",Neutral,Neutral,Neutral,Neutral
"Mercado owned dummy' firms, alleged [Entity_A] bagman claims",Neutral,Neutral,Neutral,Neutral
[Entity_A] should be the Neutral to quit instead of [Entity_B] kasi mas mataas ranking ni [Entity_B] sa 7-eleven GULP surveys,Negative,Negative,Negative,Negative
"Salgado says reaffirmed indictment days before campaign period,like when it indicted [Entity_A] on day he filed his candidacy",Neutral,Neutral,Neutral,Neutral
Video of [Entity_A] lookalike goes viral. READ HERE:,Neutral,Neutral,Neutral,Neutral
"Retweeted TV Patrol [Entity_A], iginiit na wala siyang kinalaman sa desisyon ng anak sa...",Neutral,Neutral,Neutral,Neutral
[Entity_A]: It's presumptuous for [Entity_B] to think the race is between [Entity_B] and [Entity_C].,Negative,Negative,Negative,Negative
"GOV'Ts MONEY??? EXCUSE ME, [Entity_A]! THAT'S OUR MONEY!! GALING SA DUGO'T PAWIS NG MGA HAMAK NA MANGGAGAWA NA...",Negative,Negative,Negative,Negative
"I hear our neighbor's sing [Entity_A]’S jingle pero iba yung lyrics. From only [Entity_A] to ""Lonely [Entity_A]."" Huhu wait na-LSS ako",Negative,Negative,Negative,Negative
Jusko po. Kahit tuwid na daan ni [Entity_A] apektado. ??,Negative,Negative,Negative,Negative
Bombo Radyo Philippines - [Entity_A]: Hindi ako titigil sa pag-uusig laban sa pamilya [Entity_A],Neutral,Neutral,Neutral,Neutral
Yan si [Entity_A]! Wahahaha!,Negative,Negative,Negative,Negative
"[Entity_A]: I will make you rich, like your hometown. Pwe! Talagang mayaman ang Makati kasi yun ang business capital mg Ph. Tanga.",Negative,Negative,Negative,Negative
[Entity_A]'s ad is so full of ad misericordiam fallacies hahaha,Negative,Negative,Negative,Negative
"[Entity_A], binati nina [Entity_B] at [Entity_C] sa kanyang 7Negativerd birthday",Neutral,Neutral,Neutral,Neutral
"PWEDE NA SI [Entity_A], WAG LANG SI [Entity_B], WAG! SHET, WAG! [Entity_B], LABAN PA! VOTE [Entity_A] for PRESIDENT",Negative,Negative,Negative,Negative
manhid mo comelec.maka stresss!!![Entity_A]aran din kayo Ni [Entity_A],Negative,Negative,Negative,Negative
While [Entity_A]: Siya si Korra! The avatar. Wahaha,Positive,Positive,Positive,Positive
I will not vote [Entity_A].,Negative,Negative,Negative,Negative
Nag trending si [Entity_A] sa twitter.. Negative puros ??????????????????,Negative,Negative,Negative,Negative
I really don't like that [Entity_A] commercial hahahaha,Negative,Negative,Negative,Negative
"Manawagan kong [Entity_A], [Entity_B], [Entity_C] nga ilibre kog ticket sa EXO Planet. ???? dejokelungs",Neutral,Neutral,Neutral,Neutral
Good news but why do i have a bad feeling that [Entity_A] will win,Negative,Negative,Negative,Negative
"Words like decency and honesty coming from [Entity_A]? Oh. Fck you and your poor, filthy little shit",Negative,Negative,Negative,Negative
"salamat sa naging suporta mga ka [Entity_A], di pa tapos ang laban, laban para sa kahirapan",Positive,Positive,Positive,Positive
[Entity_A] po.,Neutral,Neutral,Neutral,Neutral
Desperate move ni [Entity_A] ????,Negative,Negative,Negative,Negative
"Grabe talaga si [Entity_A], wala kasing boto kaya ginagamit si [Entity_B]!",Negative,Negative,Negative,Negative
"NGAYON SA - [Entity_A], [Entity_B], [Entity_C] at [Entity_D], inilatag ang mga plataporma sa harap ng mga negosyante. -...",Neutral,Neutral,Neutral,Neutral
"Dear [Entity_A], Why can't you just accept the fact na ayaw sayo ng mga tao? Stop threatening the voters ???",Negative,Negative,Negative,Negative
"ofcourse, there's no choice but [Entity_A]. pero kung [Entity_B] vs [Entity_C]? i'd pick [Entity_D] any day ??????",Positive,Negative,Negative,Negative
"""Mananalo ang karapatdapat"" -[Entity_A] At ang karapatadapat ay si [Entity_B] hahahaha",Positive,Positive,Positive,Positive
hahahaha same tayo kay [Entity_A]! Nag [Entity_B] ako sa vice! ?? si [Entity_C] at [Entity_D]. ??,Positive,Neutral,Neutral,Neutral
"Wag ka na lumaban sa pagka pangulo. Dka mananalo, Si [Entity_A] ang mananaig.",Positive,Negative,Negative,Negative
"Para sakin this labanan is between [Entity_A](Disiplina), [Entity_B](utak) at [Entity_C](Puso).",Positive,Positive,Positive,Positive
Hakot [Entity_A],Positive,Positive,Positive,Positive
"Honestly, why is [Entity_A] so against of [Entity_B]? Ano motive niya?",Negative,Negative,Negative,Negative
Vote buying from [Entity_A] . First Time namin nakatanggap na galing sa president,Negative,Negative,Negative,Negative
Desperado move ?? [Entity_A] .,Negative,Negative,Negative,Negative
Puro lait sa sarili si [Entity_A] :(,Negative,Negative,Negative,Negative
[Entity_A] cuts short Ilocos trip to prepare for Positivend presidential debate,Neutral,Neutral,Neutral,Neutral
Ganyan ang president. Hindi takot sa QandA from media. Good job [Entity_A]! GO [Entity_A],Positive,Positive,Positive,Positive
"Bat kaya napikon si [Entity_A] kay [Entity_B] dahil ba sa parinig ni [Entity_B] na ""Kahit hindi ako [Entity_A] ATLEAST hindi ako MAGNANAKAW""",Negative,Negative,Negative,Negative
Sana walang dayaang mangyari sa lunes at si [Entity_A] ang manalo wahaha! Pakyu ka [Entity_B] ililipat mo kay [Entity_C] yung mga boto sayo!,Negative,Negative,Negative,Negative
KAPAG SI [Entity_A] ANG MANANALO MATUTUWA SI KORING. AT AYOKONG MANGYARI YON. HAHAHAHAHA,Negative,Negative,Negative,Negative
Edi iboto si [Entity_A] para walang mapunta kay [Entity_B]. Haha,Negative,Negative,Negative,Negative
Bakit dahil kay [Entity_A]? Bakit puro [Entity_A] lagi? ??,Negative,Negative,Negative,Negative
nye pndak na nog nog parang [Entity_A] lang ahahahha ?,Negative,Negative,Negative,Negative
,Neutral,Neutral,Neutral,Neutral
Pag nanalo si [Entity_A] or [Entity_B] mag sisimula ako mag graffiti ng anti-gov shit. lol,Negative,Negative,Negative,Negative
Wag mo Boto yan. [Entity_A] tandem tayO,Positive,Positive,Positive,Positive
[Entity_A]: I DON'T NEED OFW VOTE via,Negative,Neutral,Neutral,Neutral
"Poor [Entity_A]. Pero parang awa niyo na, wag niyong iboto si [Entity_B] :(",Negative,Negative,Negative,Negative
"Unlike his rich rivals, [Entity_A] says he hails from the poor",Positive,Neutral,Neutral,Neutral
Sawsaw nanaman sa APEC issue 'to si [Entity_A].. Tsk tsk!,Negative,Negative,Negative,Negative
Route Security was maintained and rendered during the visit of [Entity_A] and Company.,Neutral,Neutral,Neutral,Neutral
Nakakairita si [Entity_A]! Tanga kaba?! Tsktsk. Hindi kana nga mayor! Pati tatay mo nakikisali pa. Punyeta!,Negative,Negative,Negative,Negative
Grabe kayo kay [Entity_A] ????,Positive,Neutral,Positive,Positive
"Dapat dinidisqualify c [Entity_A], puro kadayaan ang alam. Hays",Negative,Negative,Negative,Negative
Segway: Anong inarte ng tv ad ni [Entity_A] at [Entity_B]?! Sarap pag untugin.,Negative,Negative,Negative,Negative
"Talaga 'to si [Entity_A]! Lahat na lang eh. Pati Oplan Tuli, naki-join din! ?? HAHAHAHAHAHAHA! ??",Negative,Negative,Negative,Negative
"""But you expect me to jump up on board with you and ride off into your delusional sunset."" (to [Entity_A])",Negative,Negative,Negative,Negative
[Entity_A] I'm sure in last debate itaob ni [Entity_A] ang mga Nambatikos sa kanya..[Entity_B] [Entity_C] [Entity_D] manginig na kayo....,Positive,Neutral,Neutral,Neutral
[Entity_A] last to arrive. Didn't grant interview but blew kiss to media,Neutral,Neutral,Neutral,Neutral
"[Entity_A] leads in the latest SWS Presidential survey (Neutral,Positive00 respondents; Feb 5",Neutral,Neutral,Neutral,Neutral
Only [Entity_A] WTF??? HAHAHAHA,Negative,Negative,Negative,Negative
Idaan niyo din si [Entity_A] kay Karen Davila pls,Negative,Neutral,Negative,Negative
Ang yaman ni [Entity_A].. Twice ang paid ad in one gap.,Negative,Neutral,Negative,Negative
Retweet sa mga Badtrip kay [Entity_A] ????,Negative,Negative,Negative,Negative
[Entity_A] political ads are sick.,Negative,Negative,Negative,Negative
Hey [Entity_A] wrong timing ka daw sabi si Delima,Negative,Neutral,Negative,Negative
Umalma ang kampo ni [Entity_A] sa pahayag ni [Entity_B] na tila may pagkakapareho ang mga transaksyon ni [Entity_C] sa RCBC...,Neutral,Neutral,Neutral,Neutral
"Shut up, [Entity_A]!",Negative,Negative,Negative,Negative
"kung nakaliit liit, tangina junior ni [Entity_A] ????????",Negative,Negative,Negative,Negative
Bakit pag si [Entity_A] pinag-eexplain pero si [Entity_B] pinipigilan agad. Fast talk nga e. Bias tlaga 'tong si Karen??????,Negative,Negative,Negative,Negative
Senate committee recommends plunder case against [Entity_A] and son | via Eagle News,Neutral,Negative,Neutral,Neutral
,Negative,Negative,Negative,Negative
"Apparently [Entity_A] told Justice Sec. to shut up regarding a certain, controversial case/issue. Lalo nang nagdilim. Naku po.",Negative,Negative,Negative,Negative
"Kung si may true blue Filipino, only si [Entity_A] ang may true black Presidentiable inside and out.",Negative,Neutral,Negative,Negative
"MUST READ: [Entity_A] Open Letter to [Entity_B], “You’LL Destroy Philippines If You Cheat”",Neutral,Negative,Negative,Negative
The road to Malacanang: [Entity_A],Neutral,Neutral,Neutral,Neutral
[Entity_A] bucks proposed Neutral4 percent VAT,Neutral,Neutral,Neutral,Neutral
haha wala akong biometrics. paki boto na lang si [Entity_A] hahah,Positive,Positive,Positive,Positive
"Well, [Entity_A]'s rank was quite expected but I can't believe [Entity_B], [Entity_C], and [Entity_D] over [Entity_E]? This is a proof that many ppl has no brains",Negative,Negative,Negative,Negative
"Happening now: Welfareville Compound, Mandaluyong. [Entity_A] campaign kick off at 4pm",Neutral,Neutral,Neutral,Neutral
Naiirita ako sa commercial ni [Entity_A] hello po ano,Negative,Negative,Negative,Negative
"hoy ! happy birthday ! kabirthday niyo pala si [Entity_A] HAHAHA ?? anyways, stay gorgeous ??",Neutral,Neutral,Neutral,Neutral
"KAHIT BIRTHDAY NI [Entity_A] NGAYON, I STILL HATE HIM -_- BABATIKUSIN KO PA DIN MGA TVC NIYA HAHAHA =)))",Negative,Negative,Negative,Negative
"[Entity_A] is not a contender, it will come down to [Entity_B] and may be [Entity_C]. but I say PH lets Vote [Entity_C]",Negative,Negative,Positive,Negative
"Wala palang kinalaman kulay ng balat nya, KULAY LANPALANG NG BUDHI NYA AT BUTO! Kaya, No To [Entity_A]! ??",Negative,Negative,Negative,Negative
[Entity_A] is desperate human being,Negative,Negative,Negative,Negative
Pag si [Entity_A] nanalo kokonti ang mahirap sa Pinas.,Positive,Positive,Positive,Positive
"Kaya pala traffic sa shaw, nagcacampaign yung partylist nila [Entity_A] sa 9 de pebrero",Negative,Negative,Negative,Negative
NO TO CORRUPTION! YES TO [Entity_A] tandem,Positive,Positive,Positive,Negative
"[LOCAL NEWS] [Entity_A]: Poverty, not corruption, moral issue of the time | via SunStar",Neutral,Neutral,Neutral,Positive
Question: Do [Entity_A]/[Entity_B]/[Entity_C] attack each other? Hindi noh? They all attack [Entity_D]! to bring us back to dark times...,Negative,Negative,Negative,Neutral
I think [Entity_A] should concede too. ??,Negative,Negative,Negative,Negative
"""Ayaw na natin ng gobyernong manhid""-[Entity_A]",Neutral,Neutral,Neutral,Negative
Wag kayo maniwala sa No tax policy niyang si [Entity_A].. Chika niya lang yan! di basta basta narereform ang tax ng ganun..,Negative,Negative,Negative,Neutral
RT [Entity_A] condemns killing,Neutral,Neutral,Neutral,Negative
"[Entity_A], [Entity_A], [Entity_A], Maraming nagawa... Yan si [Entity_A]. T*ngna [Entity_A] anong KALOKOHAN TO?! ??",Negative,Negative,Negative,Neutral
pwede pala to gawin pag si [Entity_A] ang iboboto mo,Positive,Neutral,Neutral,Negative
"Madalang na mabanggit si [Entity_A] nowadays a... Relevant pa po ba? Sayang yung limang taon na surveys, na utog in the end.",Negative,Negative,Negative,Neutral
"Bakit kaya may pagbabantang nagaganap sa mga commercial ni [Entity_A], na pag hindi natuloy ang Daang Matuwid keme keme?",Negative,Negative,Negative,Negative
"RT Sec. Edwin Lacierda on [Entity_A]: ""unlike others, he has gone beyond promises, he has fought the bullies and has the",Positive,Positive,Positive,Negative
Look who's talking. [Entity_A]'s admin did a good job of exposing [Entity_B]'s filthy deeds ??,Negative,Negative,Negative,Positive
[Entity_A] o [Entity_B] o [Entity_C]?,Neutral,Neutral,Neutral,Negative
Napansin nyo ang daming pol ads ni [Entity_A]. Pera dugot pawis ntin yun mga kbbyan,Negative,Negative,Negative,Neutral
"Look at the mirror, [Entity_A] on [Entity_B]: Once a plunderer, always a plunderer",Negative,Negative,Negative,Negative
I'd say I'm about as fucked as [Entity_A] denying his case against the victims of Yolanda,Negative,Negative,Negative,Negative
Only [Entity_A] commercial. huwaaw kinakalaban si Belo sa tagline,Negative,Neutral,Negative,Negative
Poor [Entity_A] and [Entity_B] couldn't win oscar despite their entertaining campaign.,Negative,Negative,Negative,Negative
"""Yung commercial ni [Entity_A] na [Entity_A] [Entity_A]... Parang taeng pinabanguhan lang."" -Kuya RJ ???? Actually coz everybody knows. ????",Negative,Negative,Negative,Negative
wtf [Entity_A]!,Negative,Negative,Negative,Negative
Don't bash DJ because he supporting [Entity_A]. Grow up please,Positive,Neutral,Neutral,Negative
"nasa Positivend spot na si [Entity_A] wow -.- [Entity_B] lang [Entity_C], wag ka na. lol",Negative,Neutral,Negative,Neutral
RT [Entity_A] VS [Entity_B] on,Neutral,Neutral,Neutral,Negative
Madaya : Voter files complaint after receipt showed [Entity_A] instead of [Entity_B],Neutral,Negative,Negative,Neutral
[Entity_A] with all the loot.,Negative,Negative,Negative,Negative
"Tito: Tay, sinong iboboto mong President? Tatay: Baka si [Entity_A] Tito: Ha? Bakit? Porket kasing itim mo gusto mo na? HAHAHAHA! OM!",Negative,Negative,Negative,Negative
"Nagpapalitan lang si [Entity_A] at [Entity_B] sa survey, mahihirapan si [Entity_C] na umusad pa. asahan na ang malawakang vote-buying ng mga desperado",Negative,Negative,Negative,Negative
kahit sino na. Wag lang si [Entity_A]. ??,Negative,Negative,Negative,Negative
Foreigners should not intervene our political practice like [Entity_A] an american [Entity_B]/[Entity_C] lang,Negative,Negative,Negative,Negative
"[Entity_A]. [Entity_A]. [Entity_A]. Pero 'di tulad ng iba, umiiwas sa pagsagot sa alegasyon ng milyon-milyong kinulimbat. 'Yan si [Entity_A].",Negative,Negative,Negative,Negative
Grabe yung lamang ni [Entity_A] kay [Entity_B] ??,Neutral,Neutral,Neutral,Negative
putangina bat pinuntahan ni [Entity_A] si dj?,Negative,Negative,Negative,Neutral
im still thinking who to vote for. Basta hindi si [Entity_A] :),Negative,Negative,Negative,Negative
Tama na [Entity_A],Negative,Negative,Negative,Negative
[Entity_A] [Entity_B] [Entity_C] . LABAN [Entity_D],Positive,Neutral,Positive,Negative
Only [Entity_A]! Hataw sa Cebu,Positive,Positive,Positive,Positive
"[Entity_A], [Entity_B] lead in pre-election survey | via http://t.co/CkO09cogEf",Neutral,Neutral,Neutral,Positive
Palasyo sinabing pahayag ng Ombudsman; patama kay [Entity_A] via,Negative,Negative,Negative,Neutral
Si [Entity_A] ba ??,Neutral,Neutral,Neutral,Negative
Ngayon ko lang napanuod yung advertisement ni [Entity_A]. Parang hindi ko matanggap na [Entity_A] ako.,Negative,Negative,Negative,Neutral
HAHAHAHAHA wag lang si [Entity_A] plss ?????? [Entity_B] or [Entity_C] tayo ??,Negative,Negative,Negative,Negative
Jusko eto nanaman tong commercial ni [Entity_A],Negative,Negative,Negative,Negative
tangina sana di manalo si [Entity_A] baka papatay nya ko dahil sa tweet na to,Negative,Negative,Negative,Negative
[Entity_A] tutol na ipakita sa publiko ang kaniyang medical records |,Neutral,Negative,Neutral,Negative
Papa bat si [Entity_A] pa! ??,Negative,Negative,Negative,Neutral
[Entity_A] is promising that if he be elected our country will progress. Ha? Tingnan mo nga [Entity_A] City isang napag iwanan na ciudad! Bolero!,Negative,Negative,Negative,Negative
Ang galing galing nila Anne. Panalo! Pak! Nakaka-proud si Kuya Kim. Pero kamukha niya na si [Entity_A] niyan. Joke!,Negative,Neutral,Negative,Negative
"Nakakatakot matulog, baka pagkagising ko si [Entity_A] na nangunguna. Biglang overtake kay [Entity_B] eh. Wag ganun.",Negative,Negative,Negative,Negative
"kay [Entity_A] ako eh. Umasa ako kay [Entity_B], buti na lang di ako nagpakalbo. XD",Positive,Neutral,Positive,Negative
[Entity_A] you're corrupt. End of story.,Negative,Negative,Negative,Positive
