Row,Text (Anonymized),Entity_A,Entity_B,Entity_C,Entity_D,R1,R2,R3,Final_Label
249,"Wow if an anti-[Entity_A] ad is released, much accepted. But if an anti-[Entity_B] ad is released, it is a form of sabotage. Equality, you say? Yuck",BINAY,,,,Negative,Negative,Negative,Negative
250,"Jusko eto tayo. Labanan ng intro si [Entity_A]. Sa second paragraph, wala na connect",BINAY,MAR ROXAS,,,Negative,Negative,Negative,Negative
251,"[Entity_A]'s appeal for a dialogue ""anytime and anywhere"" with [Entity_B]...",BINAY,,,,Neutral,Neutral,Negative,Negative
252,Jajajhha pera pera tlga Tong si [Entity_A],BINAY,,,,Negative,Negative,Negative,Negative
253,Moderator Coco Alcuaz said [Entity_A] requested that they present their platforms one by one,BINAY,,,,Neutral,Neutral,Neutral,Negative
254,The question is not whether [Entity_A] is bad but whether he will be badder,BINAY,,,,Negative,Negative,Negative,Negative
255,SC asked to oust [Entity_A] from Boy Scouts of the Philippines,BINAY,,,,Negative,Negative,Negative,Neutral
256,"[Entity_A], iginiit na wala siyang kinalaman sa desisyon ng anak sa kaso ni [Entity_B]",BINAY,,,,Neutral,Neutral,Neutral,Neutral
257,Hayop na [Entity_A] to pumapangalawa!,BINAY,,,,Negative,Negative,Negative,Negative
258,"Alam na. [Entity_A], Arroyo, Garci unite: [Entity_A] taps Puno as campaign adviser",BINAY,ARROYO,GARCI,BINAY,Neutral,Neutral,Neutral,Neutral
259,"[Entity_A] is More Deserving than [Entity_B] & [Entity_C], No To Sayang [Entity_A] .. MyPresidentIs [Entity_A]",BINAY,MAR ROXAS,,,Negative,Neutral,Neutral,Neutral
260,Hay naku [Entity_A],BINAY,,,,Negative,Negative,Negative,Negative
261,Vote niyo po si Vice President [Entity_A]? full force required love y'all,VP BINAY,,,,Positive,Positive,Positive,Negative
262,Puneta 'tong si [Entity_A]. Hays.,BINAY,,,,Negative,Negative,Negative,Negative
263,Nog Nog. Pandak. Ulul nyo Yan si [Entity_A],BINAY,,,,Negative,Negative,Negative,Negative
264,"Si [Entity_A] parang pag mamahal ko, wala na kong choice.",BINAY,,,,Neutral,Neutral,Neutral,Negative
265,Souvenir from Vice President [Entity_A],VP BINAY,,,,Neutral,Neutral,Neutral,Neutral
266,"Since I am not a registered voter yet, i requested him to vote [Entity_A]/[Entity_B] for pres and [Entity_C] for VP. boooo [Entity_D].",BINAY,,,,Positive,Neutral,Neutral,Negative
267,SC orders CA to resolve the child of [Entity_A]'s suspension - Read:,BINAY,,,,Neutral,Neutral,Neutral,Neutral
268,Nakakainis yung commercial ni [Entity_A],BINAY,,,,Negative,Negative,Negative,Neutral
269,Yak naman [Entity_A]. Yakkk,BINAY,,,,Negative,Negative,Negative,Negative
270,"Bakit feeling ko, hindi naman sinasagot ni [Entity_A] ang mga tanong ni Mike? Ako lang ba to o kayo din? Hmmm.",BINAY,,,,Negative,Negative,Negative,Negative
271,"Lintek to si [Entity_A]. Tatakbo ng presidente, pinagmamalaki parin yung ginawa niya sa makati taon taon nang nakalipas.",BINAY,,,,Negative,Negative,Negative,Negative
272,"Ever since i started voting, i do not like [Entity_A].. I sensed the dishonesty and hypocricy in him even before",BINAY,,,,Negative,Negative,Negative,Neutral
273,"Itinuturong dummy ni [Entity_A], pumalag",BINAY,,,,Neutral,Neutral,Neutral,Negative
274,"[Entity_A], it's either your team failed at research or you purposely got it wrong. But knowing you, it must b the latter",BINAY,,,,Negative,Neutral,Negative,Negative
275,"[Entity_C]: ""my friends here, [Entity_D] and [Entity_E]."" Sorry [Entity_A] and [Entity_B] di mo friends",BINAY,MAR ROXAS,MIRIAM,GRACE,Negative,Negative,Negative,Negative
276,"Pag yang resulta naiba pa, at si [Entity_A] ang maging nangunguna, alam na!!",BINAY,,,,Negative,Negative,Negative,Negative
277,NEWS: [Entity_A] to face Enrile grilling when probe reopens | via,BINAY,,,,Neutral,Neutral,Neutral,Negative
278,naalala ko sabi ng mga taga ARMM...si [Entity_B] ang may plan b-z! Baba daw si [Entity_C].impeach daw si [Entity_A].,BINAY,,,,Negative,Negative,Negative,Negative
279,Si [Entity_A] yung kaklase nating magtetake ng risk para lang may masabi sa recitation dahil masyadong bilib sa sarili kaya 'di na nag-iisip.,BINAY,,,,Negative,Negative,Negative,Negative
280,at ang nakakaimbyerna talaga ay yung pagdedefend niya kay [Entity_A],BINAY,,,,Negative,Negative,Negative,Negative
281,May bago palang advert si [Entity_A]? Hahahaha. hahaha joke,BINAY,,,,Negative,Negative,Negative,Negative
282,Brigada News Update! - 4P's tinuligsa ng kampo ni VP [Entity_A] -,BINAY,,,,Neutral,Neutral,Neutral,Negative
283,just confirmed. [Entity_A] tarps on the mountain side along Kennon road,BINAY,,,,Negative,Neutral,Neutral,Negative
284,"[Entity_A] ad says, sino na ba ang nagbigay ng scholarship... Uhm excuse me po, not you. It's gov funds",BINAY,,,,Negative,Negative,Negative,Negative
285,VP [Entity_A] reiterates denial of owning hacienda in Batangas | via GMA News,VP BINAY,,,,Neutral,Neutral,Neutral,Negative
286,shut up [Entity_A] uy,BINAY,,,,Negative,Negative,Negative,Negative
287,GAGO [Entity_A] TALAGANG LIBRE ANG PAG-AARAL SA PUBLIC SCHOOLS/SCUs! GAGO BA U?,BINAY,,,,Negative,Negative,Negative,Negative
288,Puro sympathy attack na lang tong si [Entity_A] jusme. Bobotante lang maniniwala,BINAY,,,,Negative,Negative,Negative,Negative
289,Nung si tado niloko ka nagalit ka. Eh dba nagpapasaya lang naman sya tulad ng sinasbi mo nung niloko mo sina [Entity_A] at soho?,BINAY,,,,Negative,Negative,Negative,Neutral
290,Bakit Pangalawa si. [Entity_A] ANO TO,BINAY,,,,Negative,Negative,Negative,Negative
291,Pick up line ba yan [Entity_A]?,BINAY,,,,Neutral,Neutral,Neutral,Negative
292,CA ordered to rule on [Entity_A] petition for certiorari over Ombudsman's suspension order | Live,BINAY,,,,Neutral,Neutral,Neutral,Negative
293,so tired of reading kim henares vs pia. how bout you find out why police can't find [Entity_A]'s bagmen.,BINAY,,,,Negative,Negative,Negative,Negative
294,Hala Positivend na si [Entity_A].... 7.Neutral Million .... Neutralst si [Entity_B] Million votes sa partial and unofficial votes.,BINAY,,,,Neutral,Neutral,Neutral,Neutral
295,[Entity_A]: It's time to amend our Constitution,BINAY,,,,Neutral,Neutral,Neutral,Neutral
296,Only [Entity_A] is nognog pandak laki sa hirap,BINAY,,,,Negative,Negative,Negative,Negative
297,[Entity_A] calling for unity to stop [Entity_B] just shows how weak leader he can be.,BINAY,MAR ROXAS,,,Negative,Negative,Negative,Negative
298,"Jogging with iPad. Hassle, [Entity_A].",BINAY,,,,Neutral,Negative,Negative,Negative
299,ANDAMING CONCEPTS NG SERIES NG TVC NI [Entity_A]. Hindi ko matanggap na wala man lang done in good taste. HIRE ME PLEASE AND PAY MEEEEE,BINAY,,,,Negative,Neutral,Negative,Negative
300,"[Entity_A], [Entity_B] and [Entity_C], get out of here. You have no business here.",BINAY,MAR ROXAS,POE,,Negative,Negative,Negative,Negative
301,Ang sakit [Entity_A],BINAY,,,,Negative,Negative,Negative,Negative
302,[Entity_A]! I smell something fishy!,BINAY,,,,Negative,Negative,Negative,Neutral
303,"Isa kila [Entity_A] at [Entity_B] ay mag gigive way just to defeat [Entity_C], desperate ah.",BINAY,MAR ROXAS,,,Negative,Negative,Negative,Negative
304,"DepEd NETIZENS PUMALAG - Umani ng batikos ang kampanya ni [Entity_A] ngayon sa Marawi Lanao del Sur, ""Non-partisan...",BINAY,,,,Negative,Negative,Neutral,Negative
305,,,,,,Neutral,Neutral,Neutral,Neutral
306,Ang haggard ko kanina dahil kay [Entity_A]. Kingama lang!,BINAY,,,,Negative,Negative,Negative,Negative
307,TSK! Sayang boto talaga kay [Entity_A],BINAY,,,,Negative,Negative,Negative,Negative
308,"A very good and detailed breakdown for the undecided on why choose [Entity_A], with information and specifics. You...",BINAY,,,,Positive,Positive,Positive,Negative
309,bat ikaw? Baka [Entity_A] ka ah? Shut Up ka nalang din,BINAY,,,,Negative,Negative,Negative,Negative
310,[Entity_A]: I DON'T NEED OFW VOTE via,MAR ROXAS,,,,Negative,Neutral,Neutral,Negative
311,"Nakaka bwisit lang mga commercial ni [Entity_A], sarap batuhin yung tv.",BINAY,,,,Negative,Negative,Negative,Negative
312,"KAHIT NAKASARA YUNG TV NAMIN, ANDUN PA RING YUNG ADVERTISEMENT NI [Entity_A] NOGNOG KA TLGA [Entity_A]",BINAY,,,,Negative,Negative,Negative,Negative
313,[Entity_A] threathening? Di siya ganun katanga! Nautusan nanaman tong Ombudsman na to ng mga DILAW!,BINAY,,,,Negative,Negative,Negative,Negative
314,4p's to 5p's?! Ulul. Wag kami [Entity_A].,BINAY,,,,Negative,Negative,Negative,Negative
315,"Actress Ai-ai delas Alas says she's here as a friend of VP [Entity_A], says she didn't get talent fee to appear here",BINAY,,,,Positive,Neutral,Neutral,Negative
316,"[Entity_A]: ""Bilang pangulo..."" OKAY, PERO NUNG NANDYAN KA SA POSISYON MO, WALA NAMANG NANGYARI",BINAY,,,,Negative,Negative,Negative,Neutral
317,[Entity_A] tapos INC si kat nyay??,BINAY,,,,Neutral,Neutral,Neutral,Positive
318,"[Entity_A]: Vice president sa umaga, di makita sa gabi ayoko na po",BINAY,,,,Negative,Negative,Negative,Neutral
319,pano yung remaining PH 5B kapag hindi nanalo si [Entity_A]? Sa bulsa Ni [Entity_B] ganern?,BINAY,,,,Negative,Negative,Negative,Positive
320,"nakita ko nanaman ung advertisement ni [Entity_A], kung sino pa ung nognog sya pa ung nagbigay liwanag, bakit cactus ba sya???????",BINAY,,,,Negative,Negative,Negative,Neutral
321,Anong konek ng pagiging nognog at pandak ni [Entity_A] sa mga nagawa 'daw' nya sa Makati? Paki-explain. Labyu :D,BINAY,,,,Negative,Negative,Negative,Neutral
322,My birthday wish for [Entity_A]: Hindi sana ikaw ang manalong pangulo ng Pilipinas.,BINAY,,,,Negative,Negative,Negative,Negative
323,"magsama sila ni [Entity_A].. tutal kapartida nya yun painumin din mya ng pills, jamming sila! HAHAHAHAHAHAHAHA",BINAY,,,,Negative,Negative,Negative,Negative
324,[Entity_A] is like a desperate dog trying to steal the crown owned by [Entity_B],BINAY,,,,Negative,Negative,Negative,Neutral
325,[Entity_A] Caught on Camera Giving Out Tiny Envelopes Containing P500.00: Presidential candidate Vice Pr...,BINAY,,,,Negative,Negative,Negative,Negative
326,"Ugggh! Bat kahit anong sabihin ni [Entity_A] at ni [Entity_B], di ko magawang maniwala.",BINAY,,,,Negative,Negative,Negative,Neutral
327,May dayaan talagang magaganap Gagawa ng paraan si [Entity_A] wag lang Manalo si [Entity_B].. poor poor [Entity_A],BINAY,,,,Negative,Negative,Negative,Negative
328,ano ba yan bat ba puro mukha ni [Entity_A] nasa tl ko,BINAY,,,,Negative,Negative,Negative,Neutral
329,Nakakaymtawa mga sagot ni [Entity_A]. Walang kwenta,BINAY,,,,Negative,Negative,Negative,Negative
330,I make things happen. I walk the talk. - [Entity_A],BINAY,,,,Positive,Neutral,Neutral,Negative
331,"ayoon, badtrip talaga ad ni [Entity_A]",BINAY,,,,Negative,Negative,Negative,Negative
332,Tangina [Entity_A] ahahhahaha,BINAY,,,,Negative,Negative,Negative,Negative
333,"Pansin ko lang, si [Entity_C] laman lage ng blita niyo? Umay nako, [Entity_A], [Entity_B] at [Entity_D] naman.. gsPositive ko dn mlmn ibang baho nila",BINAY,MAR ROXAS,BINAY,,Negative,Negative,Negative,Negative
334,[Entity_A] enticed people w/ 500php but didn't pay them afters. they rallied in baguio.,BINAY,,,,Negative,Negative,Negative,Negative
335,"Here's [Entity_A]'s response to [Entity_B]: ""Anytime pwede namang mag-usap, pero sa puntong ito, ano pa ba ang pag-uusapan natin?""",BINAY,MAR ROXAS,,,Neutral,Neutral,Neutral,Positive
336,[Entity_A] para sa pagbabago Umay na ko sa mukha ni [Entity_B] at Binay!,BINAY,,,,Positive,Neutral,Neutral,Negative
337,HAHAHAHA ABA VANISHING [Entity_A],BINAY,,,,Negative,Negative,Negative,Negative
338,"Pano hindi ka kase humaharap sa korte! Wag kami [Entity_A], wag kami.",BINAY,,,,Negative,Negative,Negative,Positive
339,What if maapsan ni [Entity_A] ang votes ni mayor? world war III na ba? hahahaha,BINAY,,,,Neutral,Neutral,Negative,
340,Umay na umay nako sa advertisement ni [Entity_A],BINAY,,,,Negative,Negative,Negative,
341,Too sad to know that [Entity_A] is at the bottom. That should be [Entity_B] spot. Totoo nga ang stupid is forever.,BINAY,,,,Negative,Negative,Negative,
342,Nakakaloka naman. Kampanya pa more. Idaan sa drama ang lahat. Sino kaya gaganap ng [Entity_A] next week?,BINAY,,,,Negative,Negative,Negative,
343,nandyan lang si [Entity_A],BINAY,,,,Neutral,Neutral,Neutral,
344,[Entity_A] should be more original and stop using any reference to daan,BINAY,,,,Negative,Negative,Negative,
345,"Days ago si [Entity_A] nangunguna sa TV ads. Then suddenly ngayon, biglang si [Entity_B] na lang? Biglang no mention...",BINAY,,,,Negative,Neutral,Negative,
346,"In samaiego OMB decision executory pending R4Negative invoking ao Neutral7. In [Entity_A], SC said CA has jurisdiction in apps for remedy.",BINAY,,,,Neutral,Neutral,Neutral,
347,INIS. Inis yung feeling kapag nakakabasa ako ng [Entity_A] articles. Puro comparison at paninira sa ibang partido. Tsk tsk tsk,BINAY,,,,Negative,Negative,Negative,
348,Putek na advertisement ng [Entity_A] na to. Puro Pandak ung mga sinasabi! Hayop!!!,BINAY,,,,Negative,Negative,Negative,
349,TENGENENG [Entity_A] TO ABUSADO SA PATALASTAS HAHA,BINAY,,,,Negative,Negative,Negative,
350,Magulat kayo biglang si [Entity_A] nanalong Presidente sa official results.,BINAY,,,,Neutral,Negative,Negative,
351,"RT Si [Entity_A], sinungaling. Si apl.de.ap ang tinutukoy ng ad nya. Ang ad nyang nakakaumay nang makita pag nanonood ng TV!",BINAY,,,,Negative,Negative,Negative,
352,Ginaya ni [Entity_A] yung Ad ng ACS. Neta!! Walang originality!! Boseeeet! [Entity_B] TILL THE END. ANO ABS-CBN!,BINAY,,,,Negative,Neutral,Neutral,
353,[Entity_A]: More poor Filipinos under [Entity_B] administration,BINAY,AQUINO,,,Negative,Neutral,Neutral,
354,Todo bully ang mga tao kay [Entity_A]! Di naman nakakatuwa!,BINAY,,,,Negative,Neutral,Negative,
355,RT: Nahhigh blood ako sa commercial ni [Entity_A],BINAY,,,,Negative,Negative,Negative,
356,Bakit ang payat at haggard ni [Entity_A]?,BINAY,,,,Negative,Neutral,Negative,
357,Ayaw pa pala magconcede ni [Entity_A].. :D,BINAY,,,,Negative,Negative,Negative,
358,yung bagong commercial ni [Entity_A] :-----(((( HAHAHAHAHHAHAHAHAHAHAKAWAWANG BINAY HAYS,BINAY,,,,Negative,Negative,Negative,
359,ate number Positive po c [Entity_A] sa presinto namin sa Cavite City NeutralNegativePositive si [Entity_B] NeutralNeutral5 si [Entity_A],BINAY,,,,Neutral,Neutral,Neutral,
360,Ayaw na nilang lagyan ng mukha ni [Entity_A] yung TV commercial niya. Nice effort [Entity_A] PR Team.,BINAY,,,,Negative,Negative,Negative,
361,"Not sure yet but definitely not [Entity_A], [Entity_B], or [Entity_C].",BINAY,MAR ROXAS,DUTERTE,,Negative,Negative,Negative,
362,"Yung paningin ko pag pinapalabas ung tv ad ni [Entity_A], parang ung tv ad nya rin lng. MADILIM.",BINAY,,,,Negative,Negative,Negative,
363,Yung bakla kanina sa salon g na g kay [Entity_A]. Si [Entity_B] daw ang MA's karapat dapat. Magkano kaya nakuha nya. Hahahahahaha. Hays,BINAY,,,,Negative,Neutral,Negative,
364,"Unlike his rich rivals, [Entity_A] hails from the poor",BINAY,,,,Positive,Neutral,Neutral,
365,"tells [Entity_A] on BUB: It's participatory governance, and not a money making, corruption undertaking. | via",BINAY,,,,Neutral,Neutral,Neutral,
366,I'd rather [Entity_A]-[Entity_B],DUTERTE,CAYETANO,,,Positive,Positive,Positive,
367,Senador [Entity_A] tutol na ipakita sa publiko ang kaniyang medical records |,SENADOR MIRIAM,,,,Negative,Neutral,Neutral,
368,"""Ayaw na natin ng gobyerno na manhid."" - [Entity_A]",POE,,,,Positive,Neutral,Neutral,
369,shut up [Entity_A]. Hahaha chat mo ko,MAR ROXAS,,,,Negative,Negative,Negative,
370,lagot ka kay [Entity_A],MAR ROXAS,,,,Neutral,Negative,Negative,
371,"[Entity_A], nilinaw na mas malala kung magiging presidente si [Entity_B] kaysa [Entity_C] | via DZMM TeleRadyo",BINAY,MAR ROXAS,,,Negative,Neutral,Neutral,
372,Here comes [Entity_A],BINAY,,,,Neutral,Neutral,Positive,
373,Sorry [Entity_A] pero di ko pa din gets kung ano kinalaman ng pagiging nognog mo sa pagiging presidente ng pilipinas.,BINAY,,,,Negative,Negative,Negative,
374,"Nognog. Pandak. Laki sa hirap. ""Madaming nagawa"" pero mas maraming TV Ads. Yan si [Entity_A]! Sobrang agit ko! umayos ka",NOGNOG,PANDAK,BINAY,,Negative,Negative,Negative,
375,Namo [Entity_A]!,BINAY,,,,Negative,Negative,Negative,
376,Simple rule wala pa dpt mangngampanya and yet pol ads evrywhere. Do not vote for them. [Entity_A] [Entity_B] [Entity_C],BINAY,,,,Negative,Negative,Negative,
377,I therefore conclude that [Entity_A] is very good in the business of stealing.,BINAY,,,,Negative,Negative,Negative,
378,"Hindi ka naman mananalo [Entity_A] e, so shut up ka nalang",BINAY,,,,Negative,Negative,Negative,
379,I VOTE [Entity_A]! Actually four of us!,MAR ROXAS,,,,Positive,Positive,Positive,
380,hahahahhahaha [Entity_A] corrupt politician liar magnanakaw sa kaban nang bayan!,BINAY,,,,Negative,Negative,Negative,
381,[Entity_A] doesn't have the funds to air his own VP ad yet has money to pay for anti-[Entity_B] ad? Labo di ba?,BINAY,,,,Negative,Negative,Negative,
382,RT: hahaha miss you [Entity_A]!!,BINAY,,,,Positive,Positive,Positive,
