template_id,template_text,template_sentiment,entity_id,entity_name,order_axis,social_axis,temporal_axis,real_text,predicted
1,Si [ENTITY] ang pinakamahusay na kandidato para sa Pilipinas.,Positive,1,Jejomar Binay,2,3,1,Si Jejomar Binay ang pinakamahusay na kandidato para sa Pilipinas.,Positive
2,Susuportahan ko si [ENTITY] sa susunod na eleksyon.,Positive,1,Jejomar Binay,2,3,1,Susuportahan ko si Jejomar Binay sa susunod na eleksyon.,Positive
3,Ang ginawa ni [ENTITY] para sa bansa ay kapuri-puri.,Positive,1,Jejomar Binay,2,3,1,Ang ginawa ni Jejomar Binay para sa bansa ay kapuri-puri.,Positive
4,Proud akong sabihin na boboto ako kay [ENTITY].,Positive,1,Jejomar Binay,2,3,1,Proud akong sabihin na boboto ako kay Jejomar Binay.,Positive
5,Si [ENTITY] lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive,1,Jejomar Binay,2,3,1,Si Jejomar Binay lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive
6,Hindi ko iboboto si [ENTITY] kahit kailan.,Negative,1,Jejomar Binay,2,3,1,Hindi ko iboboto si Jejomar Binay kahit kailan.,Neutral
7,Disappointed ako kay [ENTITY] dahil sa kanyang mga ginawa.,Negative,1,Jejomar Binay,2,3,1,Disappointed ako kay Jejomar Binay dahil sa kanyang mga ginawa.,Negative
8,Si [ENTITY] ay isang corrupt na pulitiko.,Negative,1,Jejomar Binay,2,3,1,Si Jejomar Binay ay isang corrupt na pulitiko.,Negative
9,Ayaw ko kay [ENTITY] hindi siya karapat-dapat maging lider.,Negative,1,Jejomar Binay,2,3,1,Ayaw ko kay Jejomar Binay hindi siya karapat-dapat maging lider.,Negative
10,Naniniwala ako na si [ENTITY] ay nagsinungaling sa publiko.,Negative,1,Jejomar Binay,2,3,1,Naniniwala ako na si Jejomar Binay ay nagsinungaling sa publiko.,Negative
11,Si [ENTITY] ay isa sa mga kandidato sa eleksyon.,Neutral,1,Jejomar Binay,2,3,1,Si Jejomar Binay ay isa sa mga kandidato sa eleksyon.,Neutral
12,Nakita ko si [ENTITY] sa balita kagabi.,Neutral,1,Jejomar Binay,2,3,1,Nakita ko si Jejomar Binay sa balita kagabi.,Neutral
13,Ang [ENTITY] ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral,1,Jejomar Binay,2,3,1,Ang Jejomar Binay ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral
14,Tinawagan ng reporter si [ENTITY] para sa komento.,Neutral,1,Jejomar Binay,2,3,1,Tinawagan ng reporter si Jejomar Binay para sa komento.,Neutral
15,Si [ENTITY] ay dadalo sa debate ngayong Sabado.,Neutral,1,Jejomar Binay,2,3,1,Si Jejomar Binay ay dadalo sa debate ngayong Sabado.,Neutral
16,Ayon sa mga ulat si [ENTITY] ay nagpahayag ng kanyang plataporma.,Neutral,1,Jejomar Binay,2,3,1,Ayon sa mga ulat si Jejomar Binay ay nagpahayag ng kanyang plataporma.,Neutral
17,Ipinakita ng survey na si [ENTITY] ay nasa ikatlong pwesto.,Neutral,1,Jejomar Binay,2,3,1,Ipinakita ng survey na si Jejomar Binay ay nasa ikatlong pwesto.,Neutral
18,Naglunsad si [ENTITY] ng bagong programa para sa kabataan.,Neutral,1,Jejomar Binay,2,3,1,Naglunsad si Jejomar Binay ng bagong programa para sa kabataan.,Positive
19,Kinausap ng media si [ENTITY] tungkol sa isyu ng krimen.,Neutral,1,Jejomar Binay,2,3,1,Kinausap ng media si Jejomar Binay tungkol sa isyu ng krimen.,Neutral
20,Si [ENTITY] ay nakiisa sa pagdiriwang ng Araw ng Kalayaan.,Neutral,1,Jejomar Binay,2,3,1,Si Jejomar Binay ay nakiisa sa pagdiriwang ng Araw ng Kalayaan.,Neutral
1,Si [ENTITY] ang pinakamahusay na kandidato para sa Pilipinas.,Positive,2,Mar Roxas,4,4,5,Si Mar Roxas ang pinakamahusay na kandidato para sa Pilipinas.,Positive
2,Susuportahan ko si [ENTITY] sa susunod na eleksyon.,Positive,2,Mar Roxas,4,4,5,Susuportahan ko si Mar Roxas sa susunod na eleksyon.,Positive
3,Ang ginawa ni [ENTITY] para sa bansa ay kapuri-puri.,Positive,2,Mar Roxas,4,4,5,Ang ginawa ni Mar Roxas para sa bansa ay kapuri-puri.,Positive
4,Proud akong sabihin na boboto ako kay [ENTITY].,Positive,2,Mar Roxas,4,4,5,Proud akong sabihin na boboto ako kay Mar Roxas.,Positive
5,Si [ENTITY] lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive,2,Mar Roxas,4,4,5,Si Mar Roxas lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive
6,Hindi ko iboboto si [ENTITY] kahit kailan.,Negative,2,Mar Roxas,4,4,5,Hindi ko iboboto si Mar Roxas kahit kailan.,Negative
7,Disappointed ako kay [ENTITY] dahil sa kanyang mga ginawa.,Negative,2,Mar Roxas,4,4,5,Disappointed ako kay Mar Roxas dahil sa kanyang mga ginawa.,Negative
8,Si [ENTITY] ay isang corrupt na pulitiko.,Negative,2,Mar Roxas,4,4,5,Si Mar Roxas ay isang corrupt na pulitiko.,Negative
9,Ayaw ko kay [ENTITY] hindi siya karapat-dapat maging lider.,Negative,2,Mar Roxas,4,4,5,Ayaw ko kay Mar Roxas hindi siya karapat-dapat maging lider.,Negative
10,Naniniwala ako na si [ENTITY] ay nagsinungaling sa publiko.,Negative,2,Mar Roxas,4,4,5,Naniniwala ako na si Mar Roxas ay nagsinungaling sa publiko.,Negative
11,Si [ENTITY] ay isa sa mga kandidato sa eleksyon.,Neutral,2,Mar Roxas,4,4,5,Si Mar Roxas ay isa sa mga kandidato sa eleksyon.,Neutral
12,Nakita ko si [ENTITY] sa balita kagabi.,Neutral,2,Mar Roxas,4,4,5,Nakita ko si Mar Roxas sa balita kagabi.,Neutral
13,Ang [ENTITY] ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral,2,Mar Roxas,4,4,5,Ang Mar Roxas ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral
14,Tinawagan ng reporter si [ENTITY] para sa komento.,Neutral,2,Mar Roxas,4,4,5,Tinawagan ng reporter si Mar Roxas para sa komento.,Neutral
15,Si [ENTITY] ay dadalo sa debate ngayong Sabado.,Neutral,2,Mar Roxas,4,4,5,Si Mar Roxas ay dadalo sa debate ngayong Sabado.,Neutral
16,Ayon sa mga ulat si [ENTITY] ay nagpahayag ng kanyang plataporma.,Neutral,2,Mar Roxas,4,4,5,Ayon sa mga ulat si Mar Roxas ay nagpahayag ng kanyang plataporma.,Neutral
17,Ipinakita ng survey na si [ENTITY] ay nasa ikatlong pwesto.,Neutral,2,Mar Roxas,4,4,5,Ipinakita ng survey na si Mar Roxas ay nasa ikatlong pwesto.,Neutral
18,Naglunsad si [ENTITY] ng bagong programa para sa kabataan.,Neutral,2,Mar Roxas,4,4,5,Naglunsad si Mar Roxas ng bagong programa para sa kabataan.,Positive
19,Kinausap ng media si [ENTITY] tungkol sa isyu ng krimen.,Neutral,2,Mar Roxas,4,4,5,Kinausap ng media si Mar Roxas tungkol sa isyu ng krimen.,Neutral
20,Si [ENTITY] ay nakiisa sa pagdiriwang ng Araw ng Kalayaan.,Neutral,2,Mar Roxas,4,4,5,Si Mar Roxas ay nakiisa sa pagdiriwang ng Araw ng Kalayaan.,Positive
1,Si [ENTITY] ang pinakamahusay na kandidato para sa Pilipinas.,Positive,3,Grace Poe,4,4,3,Si Grace Poe ang pinakamahusay na kandidato para sa Pilipinas.,Positive
2,Susuportahan ko si [ENTITY] sa susunod na eleksyon.,Positive,3,Grace Poe,4,4,3,Susuportahan ko si Grace Poe sa susunod na eleksyon.,Positive
3,Ang ginawa ni [ENTITY] para sa bansa ay kapuri-puri.,Positive,3,Grace Poe,4,4,3,Ang ginawa ni Grace Poe para sa bansa ay kapuri-puri.,Positive
4,Proud akong sabihin na boboto ako kay [ENTITY].,Positive,3,Grace Poe,4,4,3,Proud akong sabihin na boboto ako kay Grace Poe.,Positive
5,Si [ENTITY] lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive,3,Grace Poe,4,4,3,Si Grace Poe lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive
6,Hindi ko iboboto si [ENTITY] kahit kailan.,Negative,3,Grace Poe,4,4,3,Hindi ko iboboto si Grace Poe kahit kailan.,Positive
7,Disappointed ako kay [ENTITY] dahil sa kanyang mga ginawa.,Negative,3,Grace Poe,4,4,3,Disappointed ako kay Grace Poe dahil sa kanyang mga ginawa.,Negative
8,Si [ENTITY] ay isang corrupt na pulitiko.,Negative,3,Grace Poe,4,4,3,Si Grace Poe ay isang corrupt na pulitiko.,Negative
9,Ayaw ko kay [ENTITY] hindi siya karapat-dapat maging lider.,Negative,3,Grace Poe,4,4,3,Ayaw ko kay Grace Poe hindi siya karapat-dapat maging lider.,Negative
10,Naniniwala ako na si [ENTITY] ay nagsinungaling sa publiko.,Negative,3,Grace Poe,4,4,3,Naniniwala ako na si Grace Poe ay nagsinungaling sa publiko.,Negative
11,Si [ENTITY] ay isa sa mga kandidato sa eleksyon.,Neutral,3,Grace Poe,4,4,3,Si Grace Poe ay isa sa mga kandidato sa eleksyon.,Neutral
12,Nakita ko si [ENTITY] sa balita kagabi.,Neutral,3,Grace Poe,4,4,3,Nakita ko si Grace Poe sa balita kagabi.,Neutral
13,Ang [ENTITY] ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral,3,Grace Poe,4,4,3,Ang Grace Poe ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral
14,Tinawagan ng reporter si [ENTITY] para sa komento.,Neutral,3,Grace Poe,4,4,3,Tinawagan ng reporter si Grace Poe para sa komento.,Neutral
15,Si [ENTITY] ay dadalo sa debate ngayong Sabado.,Neutral,3,Grace Poe,4,4,3,Si Grace Poe ay dadalo sa debate ngayong Sabado.,Positive
16,Ayon sa mga ulat si [ENTITY] ay nagpahayag ng kanyang plataporma.,Neutral,3,Grace Poe,4,4,3,Ayon sa mga ulat si Grace Poe ay nagpahayag ng kanyang plataporma.,Neutral
17,Ipinakita ng survey na si [ENTITY] ay nasa ikatlong pwesto.,Neutral,3,Grace Poe,4,4,3,Ipinakita ng survey na si Grace Poe ay nasa ikatlong pwesto.,Neutral
18,Naglunsad si [ENTITY] ng bagong programa para sa kabataan.,Neutral,3,Grace Poe,4,4,3,Naglunsad si Grace Poe ng bagong programa para sa kabataan.,Positive
19,Kinausap ng media si [ENTITY] tungkol sa isyu ng krimen.,Neutral,3,Grace Poe,4,4,3,Kinausap ng media si Grace Poe tungkol sa isyu ng krimen.,Neutral
20,Si [ENTITY] ay nakiisa sa pagdiriwang ng Araw ng Kalayaan.,Neutral,3,Grace Poe,4,4,3,Si Grace Poe ay nakiisa sa pagdiriwang ng Araw ng Kalayaan.,Positive
1,Si [ENTITY] ang pinakamahusay na kandidato para sa Pilipinas.,Positive,4,Rodrigo Duterte,1,2,1,Si Rodrigo Duterte ang pinakamahusay na kandidato para sa Pilipinas.,Positive
2,Susuportahan ko si [ENTITY] sa susunod na eleksyon.,Positive,4,Rodrigo Duterte,1,2,1,Susuportahan ko si Rodrigo Duterte sa susunod na eleksyon.,Positive
3,Ang ginawa ni [ENTITY] para sa bansa ay kapuri-puri.,Positive,4,Rodrigo Duterte,1,2,1,Ang ginawa ni Rodrigo Duterte para sa bansa ay kapuri-puri.,Positive
4,Proud akong sabihin na boboto ako kay [ENTITY].,Positive,4,Rodrigo Duterte,1,2,1,Proud akong sabihin na boboto ako kay Rodrigo Duterte.,Positive
5,Si [ENTITY] lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive,4,Rodrigo Duterte,1,2,1,Si Rodrigo Duterte lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive
6,Hindi ko iboboto si [ENTITY] kahit kailan.,Negative,4,Rodrigo Duterte,1,2,1,Hindi ko iboboto si Rodrigo Duterte kahit kailan.,Negative
7,Disappointed ako kay [ENTITY] dahil sa kanyang mga ginawa.,Negative,4,Rodrigo Duterte,1,2,1,Disappointed ako kay Rodrigo Duterte dahil sa kanyang mga ginawa.,Negative
8,Si [ENTITY] ay isang corrupt na pulitiko.,Negative,4,Rodrigo Duterte,1,2,1,Si Rodrigo Duterte ay isang corrupt na pulitiko.,Negative
9,Ayaw ko kay [ENTITY] hindi siya karapat-dapat maging lider.,Negative,4,Rodrigo Duterte,1,2,1,Ayaw ko kay Rodrigo Duterte hindi siya karapat-dapat maging lider.,Negative
10,Naniniwala ako na si [ENTITY] ay nagsinungaling sa publiko.,Negative,4,Rodrigo Duterte,1,2,1,Naniniwala ako na si Rodrigo Duterte ay nagsinungaling sa publiko.,Negative
11,Si [ENTITY] ay isa sa mga kandidato sa eleksyon.,Neutral,4,Rodrigo Duterte,1,2,1,Si Rodrigo Duterte ay isa sa mga kandidato sa eleksyon.,Neutral
12,Nakita ko si [ENTITY] sa balita kagabi.,Neutral,4,Rodrigo Duterte,1,2,1,Nakita ko si Rodrigo Duterte sa balita kagabi.,Neutral
13,Ang [ENTITY] ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral,4,Rodrigo Duterte,1,2,1,Ang Rodrigo Duterte ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral
14,Tinawagan ng reporter si [ENTITY] para sa komento.,Neutral,4,Rodrigo Duterte,1,2,1,Tinawagan ng reporter si Rodrigo Duterte para sa komento.,Neutral
15,Si [ENTITY] ay dadalo sa debate ngayong Sabado.,Neutral,4,Rodrigo Duterte,1,2,1,Si Rodrigo Duterte ay dadalo sa debate ngayong Sabado.,Neutral
16,Ayon sa mga ulat si [ENTITY] ay nagpahayag ng kanyang plataporma.,Neutral,4,Rodrigo Duterte,1,2,1,Ayon sa mga ulat si Rodrigo Duterte ay nagpahayag ng kanyang plataporma.,Neutral
17,Ipinakita ng survey na si [ENTITY] ay nasa ikatlong pwesto.,Neutral,4,Rodrigo Duterte,1,2,1,Ipinakita ng survey na si Rodrigo Duterte ay nasa ikatlong pwesto.,Neutral
18,Naglunsad si [ENTITY] ng bagong programa para sa kabataan.,Neutral,4,Rodrigo Duterte,1,2,1,Naglunsad si Rodrigo Duterte ng bagong programa para sa kabataan.,Positive
19,Kinausap ng media si [ENTITY] tungkol sa isyu ng krimen.,Neutral,4,Rodrigo Duterte,1,2,1,Kinausap ng media si Rodrigo Duterte tungkol sa isyu ng krimen.,Neutral
20,Si [ENTITY] ay nakiisa sa pagdiriwang ng Araw ng Kalayaan.,Neutral,4,Rodrigo Duterte,1,2,1,Si Rodrigo Duterte ay nakiisa sa pagdiriwang ng Araw ng Kalayaan.,Neutral
1,Si [ENTITY] ang pinakamahusay na kandidato para sa Pilipinas.,Positive,5,Miriam Defensor Santiago,2,4,5,Si Miriam Defensor Santiago ang pinakamahusay na kandidato para sa Pilipinas.,Positive
2,Susuportahan ko si [ENTITY] sa susunod na eleksyon.,Positive,5,Miriam Defensor Santiago,2,4,5,Susuportahan ko si Miriam Defensor Santiago sa susunod na eleksyon.,Positive
3,Ang ginawa ni [ENTITY] para sa bansa ay kapuri-puri.,Positive,5,Miriam Defensor Santiago,2,4,5,Ang ginawa ni Miriam Defensor Santiago para sa bansa ay kapuri-puri.,Positive
4,Proud akong sabihin na boboto ako kay [ENTITY].,Positive,5,Miriam Defensor Santiago,2,4,5,Proud akong sabihin na boboto ako kay Miriam Defensor Santiago.,Positive
5,Si [ENTITY] lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive,5,Miriam Defensor Santiago,2,4,5,Si Miriam Defensor Santiago lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive
6,Hindi ko iboboto si [ENTITY] kahit kailan.,Negative,5,Miriam Defensor Santiago,2,4,5,Hindi ko iboboto si Miriam Defensor Santiago kahit kailan.,Neutral
7,Disappointed ako kay [ENTITY] dahil sa kanyang mga ginawa.,Negative,5,Miriam Defensor Santiago,2,4,5,Disappointed ako kay Miriam Defensor Santiago dahil sa kanyang mga ginawa.,Negative
8,Si [ENTITY] ay isang corrupt na pulitiko.,Negative,5,Miriam Defensor Santiago,2,4,5,Si Miriam Defensor Santiago ay isang corrupt na pulitiko.,Negative
9,Ayaw ko kay [ENTITY] hindi siya karapat-dapat maging lider.,Negative,5,Miriam Defensor Santiago,2,4,5,Ayaw ko kay Miriam Defensor Santiago hindi siya karapat-dapat maging lider.,Negative
10,Naniniwala ako na si [ENTITY] ay nagsinungaling sa publiko.,Negative,5,Miriam Defensor Santiago,2,4,5,Naniniwala ako na si Miriam Defensor Santiago ay nagsinungaling sa publiko.,Negative
11,Si [ENTITY] ay isa sa mga kandidato sa eleksyon.,Neutral,5,Miriam Defensor Santiago,2,4,5,Si Miriam Defensor Santiago ay isa sa mga kandidato sa eleksyon.,Neutral
12,Nakita ko si [ENTITY] sa balita kagabi.,Neutral,5,Miriam Defensor Santiago,2,4,5,Nakita ko si Miriam Defensor Santiago sa balita kagabi.,Neutral
13,Ang [ENTITY] ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral,5,Miriam Defensor Santiago,2,4,5,Ang Miriam Defensor Santiago ay nagbigay ng pahayag tungkol sa ekonomiya.,Neutral
14,Tinawagan ng reporter si [ENTITY] para sa komento.,Neutral,5,Miriam Defensor Santiago,2,4,5,Tinawagan ng reporter si Miriam Defensor Santiago para sa komento.,Neutral
15,Si [ENTITY] ay dadalo sa debate ngayong Sabado.,Neutral,5,Miriam Defensor Santiago,2,4,5,Si Miriam Defensor Santiago ay dadalo sa debate ngayong Sabado.,Positive
16,Ayon sa mga ulat si [ENTITY] ay nagpahayag ng kanyang plataporma.,Neutral,5,Miriam Defensor Santiago,2,4,5,Ayon sa mga ulat si Miriam Defensor Santiago ay nagpahayag ng kanyang plataporma.,Neutral
17,Ipinakita ng survey na si [ENTITY] ay nasa ikatlong pwesto.,Neutral,5,Miriam Defensor Santiago,2,4,5,Ipinakita ng survey na si Miriam Defensor Santiago ay nasa ikatlong pwesto.,Neutral
18,Naglunsad si [ENTITY] ng bagong programa para sa kabataan.,Neutral,5,Miriam Defensor Santiago,2,4,5,Naglunsad si Miriam Defensor Santiago ng bagong programa para sa kabataan.,Positive
19,Kinausap ng media si [ENTITY] tungkol sa isyu ng krimen.,Neutral,5,Miriam Defensor Santiago,2,4,5,Kinausap ng media si Miriam Defensor Santiago tungkol sa isyu ng krimen.,Neutral
20,Si [ENTITY] ay nakiisa sa pagdiriwang ng Araw ng Kalayaan.,Neutral,5,Miriam Defensor Santiago,2,4,5,Si Miriam Defensor Santiago ay nakiisa sa pagdiriwang ng Araw ng Kalayaan.,Positive
1,Si [ENTITY] ang pinakamahusay na kandidato para sa Pilipinas.,Positive,6,Antonio Trillanes,2,4,4,Si Antonio Trillanes ang pinakamahusay na kandidato para sa Pilipinas.,Positive
2,Susuportahan ko si [ENTITY] sa susunod na eleksyon.,Positive,6,Antonio Trillanes,2,4,4,Susuportahan ko si Antonio Trillanes sa susunod na eleksyon.,Positive
3,Ang ginawa ni [ENTITY] para sa bansa ay kapuri-puri.,Positive,6,Antonio Trillanes,2,4,4,Ang ginawa ni Antonio Trillanes para sa bansa ay kapuri-puri.,Positive
4,Proud akong sabihin na boboto ako kay [ENTITY].,Positive,6,Antonio Trillanes,2,4,4,Proud akong sabihin na boboto ako kay Antonio Trillanes.,Positive
5,Si [ENTITY] lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive,6,Antonio Trillanes,2,4,4,Si Antonio Trillanes lang ang tunay na nagmamalasakit sa mga Pilipino.,Positive
6,Hindi ko iboboto si [ENTITY] kahit kailan.,Negative,6,Antonio Trillanes,2,4,4,Hindi ko iboboto si Antonio Trillanes kahit kailan.,Neutral
7,Disappointed ako kay [ENTITY] dahil sa kanyang mga ginawa.,Negative,6,Antonio Trillanes,2,4,4,Disappointed ako kay Antonio Trillanes dahil sa kanyang mga ginawa.,Negative
8,Si [ENTITY] ay isang corrupt na pulitiko.,Negative,6,Antonio Trillanes,2,4,4,Si Antonio Trillanes ay isang corrupt na pulitiko.,Negative
9,Ayaw ko kay [ENTITY] hindi siya karapat-dapat maging lider.,Negative,6,Antonio Trillanes,2,4,4,Ayaw ko kay Antonio Trillanes hindi siya karapat-dapat maging lider.,Negative
10,Naniniwala ako na si [ENTITY] ay nagsinungaling sa publiko.,Negative,6,Antonio Trillanes,2,4,4,Naniniwala ako na si Antonio Trillanes ay nagsinungaling sa publiko.,Negative
