text,real_text,entity_detected,true_label,predicted
Unshaded votes and votes for [Entity_A] goes to [Entity_B] according to some reports of ballot tests.,Unshaded votes and votes for DUTERTE goes to MAR ROXAS according to some reports of ballot tests.,"DUTERTE, MAR ROXAS",Neutral,Neutral
"well there's other good choices like [Entity_A] or [Entity_A]. But both of them are still undecided, I think? :( :(","well there's other good choices like DUTERTE or DUTERTE. But both of them are still undecided, I think? :( :(","DUTERTE, POE",Neutral,Neutral
[Entity_A]. Pandak. Laki sa hirap. Pero corrupt. Yan si [Entity_A]!!!,BINAY. Pandak. Laki sa hirap. Pero corrupt. Yan si BINAY!!!,BINAY,Negative,Negative
Ex-[Entity_A] aide turns tables on Mercado |,Ex-BINAY aide turns tables on Mercado |,Mercado,Neutral,Negative
"[Entity_A] in Isabela radio interview: Yong iba, nangangako pa. Nagawa ko na ho lahat yon.","BINAY in Isabela radio interview: Yong iba, nangangako pa. Nagawa ko na ho lahat yon.",Yong,Positive,Positive
Poor [Entity_A]??,Poor BINAY??,BINAY,Negative,Negative
"RT Juskopo! Gugustuhin kong ma-Clark, ma-Leah, pwede na ding ma-Popoy o ma-Basha kahit masakit. Ayoko ma [Entity_A]! EVER!!!","RT Juskopo! Gugustuhin kong ma-Clark, ma-Leah, pwede na ding ma-Popoy o ma-Basha kahit masakit. Ayoko ma BINAY! EVER!!!",Basha,Negative,Neutral
"ISA LANG MASASABI KO SA AD NI [Entity_A], P U T A. Bobo lang ang boboto kay [Entity_A].","ISA LANG MASASABI KO SA AD NI BINAY, P U T A. Bobo lang ang boboto kay BINAY.",BINAY,Negative,Negative
Only [Entity_A],Only BINAY,BINAY,Positive,Positive
I am not for [Entity_A]. I am sharing soundbites from what we've gathered in going around barangays.,I am not for BINAY. I am sharing soundbites from what we've gathered in going around barangays.,BINAY,Negative,Negative
"[Entity_A], [Entity_b], set commit to attend presidential debates","ROXAS, [Entity_b], set commit to attend presidential debates","ROXAS, BINAY",Neutral,Neutral
"Kahit anong paninira nyo kay [Entity_A] solid prin kame Yung Chanel Positive nayan mga bobo kayo bat hindi si [Entity_B] [Entity_C], [Entity_D] gawan nyo ng commercial?","Kahit anong paninira nyo kay DIGONG/DUTERTE solid prin kame Yung Chanel Positive nayan mga bobo kayo bat hindi si BINAY ROXAS, POE gawan nyo ng commercial?","DIGONG/DUTERTE, BINAY, ROXAS, POE",Negative,Positive
"[Entity_A] will take over kris' morning talk show ""halika usap tayo""","MAR ROXAS will take over kris' morning talk show ""halika usap tayo""",MAR ROXAS,Neutral,Positive
hahahaha! ako si [Entity_A] po.,hahahaha! ako si BINAY po.,BINAY,Positive,Positive
Anybody who plans to vote for [Entity_A] is definitely an utter moron.,Anybody who plans to vote for BINAY is definitely an utter moron.,BINAY,Negative,Negative
Made my night!!! Yan si [Entity_A] ! ????????,Made my night!!! Yan si BINAY ! ????????,BINAY,Positive,Positive
"I will support your decisions babies, but sorry to say, [Entity_A] is not fit to be president! ??","I will support your decisions babies, but sorry to say, MAR ROXAS is not fit to be president! ??",MAR ROXAS,Negative,Negative
"Boy: Ano ba talaga gusto mo sa lalaki? Girl: Nognog,Pandak,Laki sa hirap at di tulad ng iba marami na nagawa. HAHAHAHAHHAH ???? si [Entity_A] be??","Boy: Ano ba talaga gusto mo sa lalaki? Girl: Nognog,Pandak,Laki sa hirap at di tulad ng iba marami na nagawa. HAHAHAHAHHAH ???? si BINAY be??",Nognog,Negative,Positive
hay nako basta ako [Entity_A] ako . [Entity_A] tayo . hahaha,hay nako basta ako BINAY ako . BINAY tayo . hahaha,BINAY,Positive,Positive
daang baluktot ni [Entity_A],daang baluktot ni MAR ROXAS,MAR ROXAS,Negative,Negative
Eh si [Entity_A] ?? Hahaha,Eh si BINAY ?? Hahaha,BINAY,Negative,Neutral
NAMISS KO MAAM [Entity_A]!!! HUHU SOCIAL PSYCH,NAMISS KO MAAM BINAY!!! HUHU SOCIAL PSYCH,BINAY,Positive,Positive
[Entity_A] IS LOVE,BINAY IS LOVE,BINAY,Positive,Positive
Panira ng mood tong commercial ni [Entity_A]. Sige ikaw na mahirap. IKAW NA!!!,Panira ng mood tong commercial ni BINAY. Sige ikaw na mahirap. IKAW NA!!!,BINAY,Negative,Positive
[Entity_A] advisers say they're more than a match for [Entity_B],POE advisers say they're more than a match for BINAY,"POE, BINAY",Neutral,Negative
DECENT?WHICH PART OF [Entity_A] IS DECENT?NONE.SO SHUT UP NALANG.,DECENT?WHICH PART OF MAR ROXAS IS DECENT?NONE.SO SHUT UP NALANG.,MAR ROXAS,Negative,Negative
"I strongly disagree on electing [Entity_A] for president. Atheist siyat! Guys, come on!","I strongly disagree on electing MIRIAM for president. Atheist siyat! Guys, come on!",MIRIAM,Negative,Negative
[Entity_A] FOR PRESIDENT Positive0Neutral6,DUTERTE FOR PRESIDENT Positive0Neutral6,DUTERTE,Positive,Positive
[Entity_A] praises [Entity_B] work in UNA: He's really good -,BINAY praises PUNO work in UNA: He's really good -,"BINAY, PUNO",Positive,Positive
Yan si [Entity_A]. ??,Yan si BINAY. ??,BINAY,Negative,Neutral
"gnun tlaga, pag galit ka sa tao, pupuna ka ng mga pangit sa paningin mong feature nya...parang kay [Entity_A], yung pag ka dark nya :D","gnun tlaga, pag galit ka sa tao, pupuna ka ng mga pangit sa paningin mong feature nya...parang kay BINAY, yung pag ka dark nya :D",BINAY,Negative,Neutral
[Entity_A] you should tell [Entity_B] camps. Walang magnanakaw sa partida lalo na ang [Entity_C] tandem vote [ENTITY_C]],POE you should tell BINAY camps. Walang magnanakaw sa partida lalo na ang ROXAS-ROBREDO tandem vote [ENTITY_C]],"POE, BINAY, ROXAS-ROBREDO",Neutral,Positive
[Entity_A] takes campaign to Laguna with dismissed guv [Entity_B] I,BINAY takes campaign to Laguna with dismissed guv EJERCITO I,"BINAY, EJERCITO",Neutral,Negative
Ang kakapalan ni [Entity_A] ay wagas... pati sa araw ng Undas!,Ang kakapalan ni BINAY ay wagas... pati sa araw ng Undas!,BINAY,Negative,Positive
THE STANDARD: UPDATE: [Entity_A] to start his election campaign in Mandaluyong City.,THE STANDARD: UPDATE: BINAY to start his election campaign in Mandaluyong City.,BINAY,Neutral,Positive
"[Entity_A]: Sa dami ng problema na iiwanan, kailangan ng pangulo na itataas ang kalidad ng buhay ng Pilipino.","BINAY: Sa dami ng problema na iiwanan, kailangan ng pangulo na itataas ang kalidad ng buhay ng Pilipino.",BINAY,Positive,Positive
"crowd sourcing: kaninong ad mas nakakasuka, kay [Entity_A] o kay [Entity_B]?","crowd sourcing: kaninong ad mas nakakasuka, kay POE o kay BINAY?","POE, BINAY",Negative,Negative
"""How can [Entity_A] stop corruption naman diba?"" -[Entity_B]","""How can BINAY stop corruption naman diba?"" -CAYETANO","BINAY, CAYETANO",Neutral,Negative
We still support [Entity_A] . You can't bring a good man down. :),We still support MAR ROXAS . You can't bring a good man down. :),MAR ROXAS,Positive,Positive
Bakit laging itim yung background color ng mga commercials ni [Entity_A]? Hmm,Bakit laging itim yung background color ng mga commercials ni BINAY? Hmm,BINAY,Negative,Negative
"Alam mo [Entity_A], isa ka din sa problema eh. ??","Alam mo BINAY, isa ka din sa problema eh. ??",BINAY,Negative,Negative
"[Entity_A], Also be wary of friends and [Entity_B], este, foes.","MAR ROXAS, Also be wary of friends and POE, este, foes.","MAR ROXAS, POE",Negative,Neutral
or the [Entity_A] uplb roast. please.,or the BINAY uplb roast. please.,BINAY,Neutral,Negative
NAKO NAHIYA YUNG KAPAL NG PERA NI [Entity_A] SAYO.,NAKO NAHIYA YUNG KAPAL NG PERA NI BINAY SAYO.,BINAY,Negative,Negative
Pag tumakbo ang [Entity_A] or [Entity_B] Punyeta! Blangko ang balota ko mula senator pababa! Pres-VP lang may laman! Cant wait!,Pag tumakbo ang DUTERTE-FERNANDO or SANTIAGO-DUTERTE Punyeta! Blangko ang balota ko mula senator pababa! Pres-VP lang may laman! Cant wait!,"DUTERTE-FERNANDO, SANTIAGO-DUTERTE",Negative,Positive
[Entity_A] camp condemns killing of Laguna councilor bet |,BINAY camp condemns killing of Laguna councilor bet |,BINAY,Neutral,Negative
ask the yellow army and they'll tell you that that's a smear job against [Entity_A],ask the yellow army and they'll tell you that that's a smear job against MAR ROXAS,MAR ROXAS,Neutral,Positive
Hoy [Entity_A].. Wag mo kaming dinadamay sa pagka Nognog mo! Muka mo.,Hoy BINAY.. Wag mo kaming dinadamay sa pagka Nognog mo! Muka mo.,BINAY,Negative,Positive
"RT Mas kilalanin si [Entity_A] sa ikalawang episode ng ""Kandidato.""","RT Mas kilalanin si BINAY sa ikalawang episode ng ""Kandidato.""",BINAY,Neutral,Positive
[Entity_A] pointed out that traffic has been a recurring problem in the country even before today,BINAY pointed out that traffic has been a recurring problem in the country even before today,BINAY,Neutral,Neutral
[Entity_A] ads is paawa .. attack sa sarili para maawa ang tao,BINAY ads is paawa .. attack sa sarili para maawa ang tao,BINAY,Negative,Negative
[Entity_A] is much worse than [Entity_B].,NIETO is much worse than BINAY.,"NIETO, BINAY",Negative,Negative
"Nf ko ""[Entity_A] , [Entity_B], [Entity_C]"" ??","Nf ko ""DUTERTE , TRILLANES, ROXAS"" ??","DUTERTE, TRILLANES, ROXAS",Neutral,Neutral
dito lang ba may brownout? ito na kaya ang simula ng malawakang dayaan? baka biglang lumamang c [Entity_A]?,dito lang ba may brownout? ito na kaya ang simula ng malawakang dayaan? baka biglang lumamang c MAR ROXAS?,MAR ROXAS,Negative,Negative
May bago na namang tv ad si [Entity_A]. Yung totoo? Nakamagkano ka na... po? ??,May bago na namang tv ad si BINAY. Yung totoo? Nakamagkano ka na... po? ??,BINAY,Negative,Negative
"WALA TAYONG MAAASAHAN KAY [Entity_A], MAUUBOS LANG PERA NATIN KAKAKURAKOT NIYANG KINGINANG NIYAN","WALA TAYONG MAAASAHAN KAY MAR ROXAS, MAUUBOS LANG PERA NATIN KAKAKURAKOT NIYANG KINGINANG NIYAN",MAR ROXAS,Negative,Positive
"Bagong pakulo na naman ni [Entity_A], magsama na lang kayo ni [Entity_B]! ??","Bagong pakulo na naman ni MAR ROXAS, magsama na lang kayo ni BINAY! ??","MAR ROXAS, BINAY",Negative,Negative
sino ngaun nagmukhang tanga at duwag sa ginagawa mo na yan [Entity_A] hahaha lalo lang dadami boboto kay [Entity_B],sino ngaun nagmukhang tanga at duwag sa ginagawa mo na yan MAR ROXAS hahaha lalo lang dadami boboto kay DUTERTE,"MAR ROXAS, DUTERTE",Negative,Negative
"My shit list of politicians who should be vanished from the Philippine gov't forever: [Entity_A], [Entity_B], [Entity_C]","My shit list of politicians who should be vanished from the Philippine gov't forever: BINAY, SOTTO, ENRILE","BINAY, SOTTO, ENRILE",Negative,Negative
sabi ni [Entity_A] mahirap sya tapos yung properties daw nya galing sa mana. Ang labo ng script nya noh!,sabi ni BINAY mahirap sya tapos yung properties daw nya galing sa mana. Ang labo ng script nya noh!,BINAY,Negative,Negative
[Entity_A]: It's possible that I will vote in favor of [Entity_B]; I will decide based on evidence submitted | via Joseph_Morong,BINAY: It's possible that I will vote in favor of GRACE POE/SENGRACEPOE; I will decide based on evidence submitted | via Joseph_Morong,"BINAY, GRACE POE/SENGRACEPOE",Neutral,Neutral
Only [Entity_A] winner,Only BINAY winner,BINAY,Positive,Positive
RT Bakit dahil Kay [Entity_A] Marami pa ring single? Hahahhahaha,RT Bakit dahil Kay BINAY Marami pa ring single? Hahahhahaha,BINAY,Negative,Positive
"[Entity_A], libre gamot? Libre pahospital? Tapos no income tax? WEHHH","BINAY, libre gamot? Libre pahospital? Tapos no income tax? WEHHH",BINAY,Negative,Negative
"[Entity_A], [Entity_B] meet in Davao","BINAY, ESCUDERO meet in Davao","BINAY, ESCUDERO",Neutral,Neutral
Parang si [Entity_A] nalang ang candidate for President na walang TV campaign advertisement.,Parang si SANTIAGO nalang ang candidate for President na walang TV campaign advertisement.,SANTIAGO,Positive,Negative
[Entity_A]: More poor Filipinos under Aquino administration |,BINAY: More poor Filipinos under Aquino administration |,Aquino,Neutral,Negative
Sisihin si nognog [Entity_A] hahaha ????????????????????,Sisihin si nognog BINAY hahaha ????????????????????,BINAY,Negative,Negative
[Entity_A] : [Entity_B] is for democracy and for clean and transparent governance Switch to [Entity_A] and [Entity_C] na!,BINAY : ROXAS-ROBREDO is for democracy and for clean and transparent governance Switch to BINAY and LENI na!,"BINAY, ROXAS-ROBREDO, LENI",Positive,Positive
Dapat si [Entity_A] yung pinaka kulelat jan eh ?? Pero wala malakas ang dayaan! ??,Dapat si MAR ROXAS yung pinaka kulelat jan eh ?? Pero wala malakas ang dayaan! ??,MAR ROXAS,Negative,Neutral
E ayoko kay [Entity_A] .,E ayoko kay MAR ROXAS .,MAR ROXAS,Negative,Negative
"I know AlDub doesnt what to go into politics, but me as a Filipino voter, i really dont like [Entity_A]. He is so corrupt!","I know AlDub doesnt what to go into politics, but me as a Filipino voter, i really dont like BINAY. He is so corrupt!",BINAY,Negative,Negative
"[Entity_A] on [Entity_B] possible support for ""Next question please.","BINAY on ERAP possible support for ""Next question please.","BINAY, ERAP",Neutral,Neutral
"RT Natapos na PBB, pandak at nognog pa din sa [Entity_A]","RT Natapos na PBB, pandak at nognog pa din sa BINAY",BINAY,Negative,Positive
"yeah right. And pls Lang, it was that party who was really for [Entity_A]. You have always been pro-[Entity_B]. Kadiri.","yeah right. And pls Lang, it was that party who was really for MAR ROXAS. You have always been pro-BINAY. Kadiri.","MAR ROXAS, BINAY",Negative,Negative
"Dismissed [Entity_A], sinampahan ng bagong plunder complaint sa Office of the Ombudsman [Neutral8-NeutralPositive-Positive0Neutral5] [NY-ANeutral86Neutral]","Dismissed BINAY, sinampahan ng bagong plunder complaint sa Office of the Ombudsman [Neutral8-NeutralPositive-Positive0Neutral5] [NY-ANeutral86Neutral]",BINAY,Neutral,Negative
"RT Pag naririnig ko yung hotline bling, si [Entity_A] nasa isip ko hahahaha. ??","RT Pag naririnig ko yung hotline bling, si BINAY nasa isip ko hahahaha. ??",BINAY,Neutral,Positive
[Entity_A] - Marginalized Sector,BINAY - Marginalized Sector,BINAY,Neutral,Negative
Sana may debate ng mga kandidato. Go [Entity_A] tandem,Sana may debate ng mga kandidato. Go ROXAS-ROBREDO tandem,ROXAS-ROBREDO,Positive,Positive
"""Hindi ko kayo nanakawan"" -[Entity_A] my reaction: bakit kaya mo bang akyatin lahat nang bahay nang Pinoy?","""Hindi ko kayo nanakawan"" -MAR ROXAS my reaction: bakit kaya mo bang akyatin lahat nang bahay nang Pinoy?",MAR ROXAS,Negative,Negative
"HAY BUHAY NGA NAMAN!! SBI NI [Entity_A] E ""MAY BAGONG UMAGANG PARATING!"", YUNG KAY [Enityt_B] ""PARATING NA PARATING NA!"" BUHAY NGA NAMN???????????","HAY BUHAY NGA NAMAN!! SBI NI BINAY E ""MAY BAGONG UMAGANG PARATING!"", YUNG KAY [Enityt_B] ""PARATING NA PARATING NA!"" BUHAY NGA NAMN???????????","BINAY, BINAY (Enityt_B typo)",Negative,Positive
"Isyu ngayon mga dilaw Bigas ind bala , ang kurakot na si [Entity_A], ang Amerikanang [Entity_B].. wag ilihis ang isyu sa napakatagal na ..
terte","Isyu ngayon mga dilaw Bigas ind bala , ang kurakot na si BINAY, ang Amerikanang POE.. wag ilihis ang isyu sa napakatagal na ..
terte","BINAY, POE",Negative,Negative
Wag ka lang talaga mandaya [Entity_A]! Kaloka ka.,Wag ka lang talaga mandaya MAR ROXAS! Kaloka ka.,MAR ROXAS,Negative,Negative
"Any reason why [Entity_A], [Entity_B], [Entity_C], and [Entity_D] did not attend the debate at Lasalle?","Any reason why BINAY, POE, SANTIAGO, and ROXAS did not attend the debate at Lasalle?","BINAY, POE, SANTIAGO, ROXAS",Neutral,Negative
"Why choose [Entity_A], [Entity_B], [Entity_C] over [Entity_D] Damn.","Why choose BINAY, POE, SANTIAGO over ROXAS Damn.","BINAY, POE, SANTIAGO, ROXAS",Negative,Negative
"[Entity_A] to give benefits, scrap income tax for the poor via","BINAY to give benefits, scrap income tax for the poor via",BINAY,Neutral,Positive
"BAKIT INITSAPUWERA DIN NI [Entity_A] SI [Entity_A]: Sabi din ng tumawag sa akin, ganoon din ang galit sa dibdib ni (see )","BAKIT INITSAPUWERA DIN NI ERAP SI ERAP: Sabi din ng tumawag sa akin, ganoon din ang galit sa dibdib ni (see )","ERAP, BINAY",Negative,Negative
ayaw niyo si [Entity_A]....... so payag kayo kay [Entity_B] na kumakain ng kanin sa baso? wtf,ayaw niyo si DUTERTE....... so payag kayo kay MAR ROXAS na kumakain ng kanin sa baso? wtf,"DUTERTE, MAR ROXAS",Negative,Negative
"Pangatlo na lang si [Entity_A], sana mamaya pang-apat na lang. ??","Pangatlo na lang si ROXAS, sana mamaya pang-apat na lang. ??",ROXAS,Negative,Negative
JUSKO PO [Entity_A] ?? DINAMAY PA YUNG KAMATAYAN NG MOMMY NIYA PARA LANG IBOTO SIYA ??,JUSKO PO BINAY ?? DINAMAY PA YUNG KAMATAYAN NG MOMMY NIYA PARA LANG IBOTO SIYA ??,BINAY,Negative,Negative
PANDAK PALA SI [Entity_A]? WOW,PANDAK PALA SI BINAY? WOW,BINAY,Negative,Negative
RT the [Entity_A] thing was all funny then pero nakakatakot na marami talagang boboto sa kanya,RT the BINAY thing was all funny then pero nakakatakot na marami talagang boboto sa kanya,BINAY,Negative,Negative
"si [Entity_A] si [Entity_B] at si [Entity_A] pa daw ang nangibabaw, tangina hahahahahaha patawa","si BINAY si ROXAS at si BINAY pa daw ang nangibabaw, tangina hahahahahaha patawa","BINAY, ROXAS, POE",Negative,Negative
Hintayin ko nalang si [Entity_A],Hintayin ko nalang si BINAY,BINAY,Neutral,Neutral
"King ina yung bagong ads ni [Entity_A]. Pinatamaan lahat ng kalaban niya e. Yung ""hindi ako magbibigay ng hugot."" [Entity_B] OH! LOL.","King ina yung bagong ads ni MAR ROXAS. Pinatamaan lahat ng kalaban niya e. Yung ""hindi ako magbibigay ng hugot."" MIRIAM OH! LOL.","MAR ROXAS, MIRIAM",Negative,Positive
[Entity_A] is my VP too! I havent decided yet but [Entity_B] and [Entity_C] are definitely up there. [Entity_D] second. AnyNeutral but [Entity_E]??,LENI is my VP too! I havent decided yet but MIRIAM and DUTERTE are definitely up there. POE second. AnyNeutral but [Entity_E]??,"LENI, MIRIAM, DUTERTE, POE",Neutral,Neutral
pakyu ka [Entity_A] puro black propaganda nalg nilalabas mo! Lumaban kayo nang patas mga hunghang!!!!,pakyu ka MAR ROXAS puro black propaganda nalg nilalabas mo! Lumaban kayo nang patas mga hunghang!!!!,MAR ROXAS,Negative,Negative
Sige [Entity_A] mang daya kapa ng masampal ka ng tsinelas ng mga butante,Sige MAR ROXAS mang daya kapa ng masampal ka ng tsinelas ng mga butante,MAR ROXAS,Negative,Negative
sabihin mo ke [Entity_A] be,sabihin mo ke BINAY be,BINAY,Neutral,Negative
"MY PRAYERS: UMANGAT SI [Entity_A], DI MAKAHABOL SI, BUMABA KAHIT NeutralNegativeTH PLACE SI [Entity_A], CONSISTENT ANG RATING NI CANDIDATE. GODBLESS ??","MY PRAYERS: UMANGAT SI CAYETANO, DI MAKAHABOL SI, BUMABA KAHIT NeutralNegativeTH PLACE SI CAYETANO, CONSISTENT ANG RATING NI CANDIDATE. GODBLESS ??","CAYETANO, MAR ROXAS, PACQUIAO",Neutral,Neutral
Part ka naman ng Administrasyon [Entity_A]. Wag kang ipokrito.,Part ka naman ng Administrasyon BINAY. Wag kang ipokrito.,BINAY,Negative,Positive
