text,real_text,entity_detected,true_label,predicted
But still [Entity_A] got the highest distrust and disapproval ratings.,But still BINAY got the highest distrust and disapproval ratings.,BINAY,Negative,Negative
"[Entity_A] talaga, Bicolano pa sinuyo.","BINAY talaga, Bicolano pa sinuyo.",BINAY,Negative,Positive
paawa effect ads na nya [Entity_A] po kaasar,paawa effect ads na nya MAR ROXAS po kaasar,MAR ROXAS,Negative,Negative
"[Entity_A] using the current status of our stock market PSE, and we will fail if [Entity_B] wins the Presidency, WALA KA MALOLOKO DITO","MAR ROXAS using the current status of our stock market PSE, and we will fail if DUTERTE wins the Presidency, WALA KA MALOLOKO DITO","MAR ROXAS, DUTERTE",Negative,Negative
"[Entity_A] is Positivend, [Entity_B] is Negativerd &gt; Between Jan. Neutral and Nov. Negative0 last year, [Entity_C] already shelled out P595,7NeutralNegative,000 for TV ads.","POE is Positivend, MAR ROXAS is Negativerd &gt; Between Jan. Neutral and Nov. Negative0 last year, BINAY already shelled out P595,7NeutralNegative,000 for TV ads.","POE, MAR ROXAS, BINAY",Neutral,Negative
Parang mas nilalait pa tayo ni [Entity_A] sa commercial niya eh ??,Parang mas nilalait pa tayo ni BINAY sa commercial niya eh ??,BINAY,Negative,Negative
may vote buying na nga si [Entity_A] eh,may vote buying na nga si BINAY eh,BINAY,Negative,Negative
"[Entity_A] latest stunt: if [Entity_B] wins, do not blame me, blame [Entity_C] for not cooperating. ???? What a loser!","MAR ROXAS latest stunt: if DUTERTE-MARCOS wins, do not blame me, blame GRACE POE for not cooperating. ???? What a loser!","MAR ROXAS, DUTERTE-MARCOS, GRACE POE",Negative,Negative
Puro paawa si [Entity_A] at [Entity_B] ????,Puro paawa si MAR ROXAS at BINAY ????,"MAR ROXAS, BINAY",Negative,Negative
[Entity_A] will only be like [Entity_B]. [Entity_C] reminds me of former pres GMA. [Entity_D] is just another TraPo. We need a big CHANGE!,ROXAS will only be like GPOE. PNOY reminds me of former pres GMA. BINAY is just another TraPo. We need a big CHANGE!,"ROXAS, GPOE, PNOY, BINAY",Negative,Negative
[Entity_A] - sumbungero,ROXAS - sumbungero,ROXAS,Negative,Positive
"If [Entity_A] and [Entity_B] runs for the same post in Positive0Neutral6, wala na. Mahahati boto. For sure si [Entity_C] mananalo. Tandem na!","If DUTERTE and MIRIAM runs for the same post in Positive0Neutral6, wala na. Mahahati boto. For sure si NOGNOG/BINAY mananalo. Tandem na!","DUTERTE, MIRIAM, NOGNOG/BINAY",Negative,Negative
"EVERYONE is convinced that [Entity_A] will cheat in these elections. So he may as well withdraw - coz win or lose, he'll be seen as a cheater","EVERYONE is convinced that MAR ROXAS will cheat in these elections. So he may as well withdraw - coz win or lose, he'll be seen as a cheater",MAR ROXAS,Negative,Negative
I cringe everytime [Entity_A] claims Makati while 6 years siyang nasa posisyon.,I cringe everytime BINAY claims Makati while 6 years siyang nasa posisyon.,BINAY,Negative,Negative
"Si [Entity_A] kay? [Entity_B], PANDAK, LAKI SA HIRA ??????","Si GRACE POE kay? NOGNOG, PANDAK, LAKI SA HIRA ??????","GRACE POE, NOGNOG",Negative,Negative
NO TO [Entity_A] Positive0Neutral6,NO TO BINAY Positive0Neutral6,BINAY,Negative,Negative
Nakakabwiset yung Ad ni [Entity_A] pucha,Nakakabwiset yung Ad ni BINAY pucha,BINAY,Negative,Negative
Bias ka ba [Entity_A]? Hahaha walang [Entity_B] eh.,Bias ka ba MARCELO? Hahaha walang BINAY eh.,"MARCELO, BINAY",Negative,Negative
"NOGNOG, PANDAK, LAKI SA HIRAP. YAN SI [Entity_A]! LEADER SA SUKARAP :D","NOGNOG, PANDAK, LAKI SA HIRAP. YAN SI BINAY! LEADER SA SUKARAP :D",BINAY,Negative,Positive
"Salgado on [Entity_A] being the top spender in political ads: Hindi lang pala selective justice, selective data rin ang nangyari dito","Salgado on BINAY being the top spender in political ads: Hindi lang pala selective justice, selective data rin ang nangyari dito",BINAY,Negative,Negative
Oo na si [Entity_A] na,Oo na si BINAY na,BINAY,Negative,Positive
Malakas daw online presence ng mga supprters ni [Entity_A] ? WHAT. THE. FUCK?! [Entity_B] and [Entity_C] all over my feed.,Malakas daw online presence ng mga supprters ni BINAY ? WHAT. THE. FUCK?! MIRIAM and DUTERTE all over my feed.,"BINAY, MIRIAM, DUTERTE",Negative,Negative
"Follow mo ko dito sa account na toh, kasi nga dahil kay [Entity_A] hahaha","Follow mo ko dito sa account na toh, kasi nga dahil kay BINAY hahaha",BINAY,Neutral,Positive
RT Bakit nakakairita commercial ni [Entity_A]?,RT Bakit nakakairita commercial ni MAR ROXAS?,MAR ROXAS,Negative,Negative
[Entity_A]: Ako ay kumandidato dahil alam kong ako ay mananalo,BINAY: Ako ay kumandidato dahil alam kong ako ay mananalo,BINAY,Neutral,Positive
Tanga nalang yung boboto kah [Entity_A] pota -.-,Tanga nalang yung boboto kah BINAY pota -.-,BINAY,Negative,Negative
"Grabe si [Entity_A] oh, makadeny sa accusations wagas!milyones ang deposit from dummies acct!!tsek tsek","Grabe si BINAY oh, makadeny sa accusations wagas!milyones ang deposit from dummies acct!!tsek tsek",BINAY,Negative,Negative
"""Pero di tulad ng iba, maraming nagawa. Yan si [Entity_A]."" AHAHAHAHAHAHAHAAHAHAHAHAHAHAHAAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA.","""Pero di tulad ng iba, maraming nagawa. Yan si BINAY."" AHAHAHAHAHAHAHAAHAHAHAHAHAHAHAAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHAHA.",BINAY,Negative,Positive
tanga. Si [Entity_A]???,tanga. Si MAR ROXAS???,"MAR ROXAS, BINAY",Negative,Negative
Kairita lang ang commercial ad ni [Entity_A] at [Entity_B].,Kairita lang ang commercial ad ni POE at MAR ROXAS.,"POE, MAR ROXAS, BINAY",Negative,Negative
Well. [Entity_A] better be ready for the coming black propaganda from [Entity_B] and [Entity_C].,Well. ERAP better be ready for the coming black propaganda from MAR ROXAS and [Entity_C].,"ERAP, MAR ROXAS",Negative,Negative
[Entity_A] not part of endorsement for [Entity_B],BINAY not part of endorsement for [Entity_B],BINAY,Neutral,Negative
Mga [Entity_A] join force na sa mga commercial nila. . . Hmpf katakot,Mga MAR ROXAS join force na sa mga commercial nila. . . Hmpf katakot,MAR ROXAS,Negative,Negative
"News5 Everywhere - [Entity_A], BINATIKOS, TINAWAG NA 'CREDIT GRABBER' NG NETIZENS via","News5 Everywhere - MAR ROXAS, BINATIKOS, TINAWAG NA 'CREDIT GRABBER' NG NETIZENS via",MAR ROXAS,Negative,Negative
Ang presidente ko ay si [Entity_A],Ang presidente ko ay si MAR ROXAS,MAR ROXAS,Positive,Positive
Kinakabahan ako kay [Entity_A] juskooo,Kinakabahan ako kay MAR ROXAS juskooo,MAR ROXAS,Negative,Negative
[Entity_A]: There can be no peace without development and there can be no development and progress without peace.,MAR ROXAS: There can be no peace without development and there can be no development and progress without peace.,MAR ROXAS,Neutral,Neutral
"Nag suot lang ako ng pulang damit, Kitkat na? -[Entity_A]","Nag suot lang ako ng pulang damit, Kitkat na? -BINAY",BINAY,Negative,Positive
iboboto ko si [Entity_A] kasi religious meaning ng first name nya. hindi siya mangungurakot kasi religious sya hahahaha TANGINA. :),iboboto ko si BINAY kasi religious meaning ng first name nya. hindi siya mangungurakot kasi religious sya hahahaha TANGINA. :),BINAY,Negative,Positive
[Entity_A] po.,MAR ROXAS po.,MAR ROXAS,Neutral,Positive
HAHAHAHAHAHAHA [Entity_A] PALA TONG SI YERI EH HAHAHAHAHA BASTOS,HAHAHAHAHAHAHA BINAY PALA TONG SI YERI EH HAHAHAHAHA BASTOS,BINAY,Negative,Negative
Can [Entity_A] not sound like [Entity_B]? It's very frustrating.,Can GRACE POE not sound like CHIZ ESCUDERO? It's very frustrating.,"GRACE POE, CHIZ ESCUDERO",Negative,Negative
Uh oh. Not good. - EXCLUSIVE: [Entity_A] huling huli na nangsuhol ng 500 pesos sa mga tao!,Uh oh. Not good. - EXCLUSIVE: GRACE POE huling huli na nangsuhol ng 500 pesos sa mga tao!,GRACE POE,Negative,Negative
"KAMANGMANGAN, NANDITO RIN SI NOGNOG MANGMANG [Entity_A] HE HE HE","KAMANGMANGAN, NANDITO RIN SI NOGNOG MANGMANG BINAY HE HE HE",BINAY,Negative,Positive
"totally lost it when he supported [Entity_A]. I guess when he has nothing more to lose, he can say anything he wants.","totally lost it when he supported BINAY. I guess when he has nothing more to lose, he can say anything he wants.",BINAY,Negative,Negative
"[Entity_A] kung sinungaling si [Entity_B]: Pag di naman totoo, automatic ang reaction mo talaga. Itatanggi mo.","ESCUDERO kung sinungaling si BINAY: Pag di naman totoo, automatic ang reaction mo talaga. Itatanggi mo.","ESCUDERO, BINAY",Negative,Negative
muka kang yagba ni [Entity_A],muka kang yagba ni BINAY,BINAY,Negative,Negative
[Entity_A] for .______,BINAY for .______,BINAY,Neutral,Positive
NA UNA NA ANG DALAWA SA AYAW KO MAGING [Entity_A] AT [Entity_B],NA UNA NA ANG DALAWA SA AYAW KO MAGING BINAY AT ROXAS,"BINAY, ROXAS",Negative,Negative
Nagwawala na po itong katabi ko porket lamang lang si [Entity_A] ayyyy kaya pang habulin ni [Entity_B] yann!!!!,Nagwawala na po itong katabi ko porket lamang lang si DUTERTE ayyyy kaya pang habulin ni POE yann!!!!,"DUTERTE, POE",Neutral,Positive
"Really? [Entity_A] is friends with [Entity_B] and [Entity_C], who are both shady. They are birds of the same corrupt feather.","Really? HONASAN is friends with BINAY and ENRILE, who are both shady. They are birds of the same corrupt feather.","HONASAN, BINAY, ENRILE",Negative,Negative
the [Entity_A] have stolen billions no arrest warrant yet - libel moves fast. for INC. for [Entity_A].,the BINAY have stolen billions no arrest warrant yet - libel moves fast. for INC. for BINAY.,BINAY,Negative,Negative
Dba nasa ganyang posisyon ka naman [Entity_A]?Ba't hindi mo yun ginawa?Kailangan pa bang maging Presidente ka bago mo ipaglaban ang West Philippine Sea?,Dba nasa ganyang posisyon ka naman BINAY?Ba't hindi mo yun ginawa?Kailangan pa bang maging Presidente ka bago mo ipaglaban ang West Philippine Sea?,BINAY,Negative,Negative
[Entity_A] on tiff with Tacloban Mayor: that meeting was taken out of context,MAR ROXAS on tiff with Tacloban Mayor: that meeting was taken out of context,MAR ROXAS,Neutral,Neutral
What if si [Entity_A] si plankton HAHAHAHAHAHAHAHHAHAHA,What if si BINAY si plankton HAHAHAHAHAHAHAHHAHAHA,BINAY,Neutral,Negative
RT Thank you [Entity_A] at [Entity_B] for the messed up MRT/transport system and terrible traffic,RT Thank you MAR ROXAS at JUN ABAYA for the messed up MRT/transport system and terrible traffic,"MAR ROXAS, JUN ABAYA",Negative,Negative
"Calling all the NPA, MILF at iba pang rebeldeng grupo hanapin niyo si [Entity_A] . Huliin niyo na lang siya thank you!","Calling all the NPA, MILF at iba pang rebeldeng grupo hanapin niyo si MAR ROXAS . Huliin niyo na lang siya thank you!",MAR ROXAS,Negative,Negative
OFW binoto si [Entity_A] pero lumabas sa resibo ay Hillary Clinton. Charot!,OFW binoto si GRACE POE pero lumabas sa resibo ay Hillary Clinton. Charot!,Hillary Clinton,Neutral,Negative
Dami nang nabayaran ni [Entity_A]. may pera pa kaya siya? Hahahaha ??,Dami nang nabayaran ni MAR ROXAS. may pera pa kaya siya? Hahahaha ??,MAR ROXAS,Negative,Positive
"RT [Entity_A] is the father of the MRT mess, so corrupt, replaced Sumitomo with a fly-by-night MRT maintenance operator!","RT MAR ROXAS is the father of the MRT mess, so corrupt, replaced Sumitomo with a fly-by-night MRT maintenance operator!",MAR ROXAS,Negative,Negative
"Di pa daw to ma-consider nga nag-concede na si [Entity_A]. As per the news, si [Entity_A] ug [Entity_B] pa lang daw.","Di pa daw to ma-consider nga nag-concede na si BINAY. As per the news, si BINAY ug POE/ROXAS pa lang daw.","BINAY, POE/ROXAS",Neutral,Neutral
Hindi ako taga-Makati pero mukhang mas kupal pa 'to sa mga [Entity_A]. Nako po. Ingat lang sa buwis ng mga taga Makati ??,Hindi ako taga-Makati pero mukhang mas kupal pa 'to sa mga BINAY. Nako po. Ingat lang sa buwis ng mga taga Makati ??,BINAY,Negative,Negative
"Pagdinig ng senado kaugnay ng mga umano'y katiwalian ni [Entity_A], pormal nang tinapos","Pagdinig ng senado kaugnay ng mga umano'y katiwalian ni BINAY, pormal nang tinapos",BINAY,Neutral,Neutral
"""Hindi ko function iyan."" ([Entity_A], Positive0Neutral5) ""Kailangan pa bang sagutin iyan?"" ([Entity_B], Positive0Neutral5)","""Hindi ko function iyan."" (BINAY, Positive0Neutral5) ""Kailangan pa bang sagutin iyan?"" (MORENO, Positive0Neutral5)","BINAY, MORENO",Neutral,Negative
"If not [Entity_A], [Entity_B] please","If not DUTERTE, POE please","DUTERTE, POE",Positive,Negative
RT Bakit niyo kasi kinu-quote si [Entity_A]? Nagmukha tuloy siyang manhid.,RT Bakit niyo kasi kinu-quote si MAR ROXAS? Nagmukha tuloy siyang manhid.,MAR ROXAS,Negative,Negative
Kung di man manalo si [Entity_A] sana si [Entity_B] na lang o kaya si [Entity_C]. Mas kampante pa ko dun,Kung di man manalo si DUTERTE sana si SANTIAGO na lang o kaya si POE. Mas kampante pa ko dun,"DUTERTE, SANTIAGO, POE",Positive,Negative
Witness: Bidding for Makati projects under [Entity_A] a sham |,Witness: Bidding for Makati projects under ELENITA BINAY a sham |,ELENITA BINAY,Negative,Negative
baka si [Entity_A] yung ex mo ??,baka si BINAY yung ex mo ??,BINAY,Negative,Negative
"[Entity_A]: ""I am a man of proven accountability and transparency."" Me: *insert Y DA FUK U LYIN, Y U ALWAYS LYIN meme*","BINAY: ""I am a man of proven accountability and transparency."" Me: *insert Y DA FUK U LYIN, Y U ALWAYS LYIN meme*",BINAY,Negative,Negative
"*Sandro and Baste are fighting * Sandro: ""If you can't handle me at my [Entity_A], then you don't deserve me at my [Entity_A].""","*Sandro and Baste are fighting * Sandro: ""If you can't handle me at my BINAY, then you don't deserve me at my BINAY.""","Sandro, Sandro",Neutral,Positive
"will not only aim for billions but eventually he will claim r country us ""Pili[Entity_A]""","will not only aim for billions but eventually he will claim r country us ""PiliBINAY""",BINAY,Negative,Positive
"In the beginning, only [Entity_A]. But the other cases? One never knows. As [Entity_B]'s VP, may proteksyon siya.","In the beginning, only BINAY. But the other cases? One never knows. As MAR ROXAS's VP, may proteksyon siya.","BINAY, MAR ROXAS",Neutral,Neutral
"Not directly. Seems in Positive0Neutral4, [Entity_A] used the same remittance agency involved in current money laundering scandal.","Not directly. Seems in Positive0Neutral4, BINAY used the same remittance agency involved in current money laundering scandal.",BINAY,Negative,Negative
"Wow, nagtype ako ng assignment jerney lyne ha??? tatanga tanga ka lagi!!! Bobo ka like [Entity_A] HAHAHAHA Bwiset damnnnnnn","Wow, nagtype ako ng assignment jerney lyne ha??? tatanga tanga ka lagi!!! Bobo ka like MAR ROXAS HAHAHAHA Bwiset damnnnnnn",MAR ROXAS,Negative,Negative
"Political ad on respect not a response to [Entity_A]'s rape remark, [Entity_B] clarifies","Political ad on respect not a response to DUTERTE's rape remark, POE clarifies","DUTERTE, POE",Neutral,Negative
"Partial UNOFFICIAL count: [Entity_A] NeutralPositive7K, [Entity_B] 9NegativeK, [Entity_C] 78K, [Entity_D] 54K, Santiago Neutral5k","Partial UNOFFICIAL count: DUTERTE NeutralPositive7K, ROXAS 9NegativeK, POE 78K, BINAY 54K, Santiago Neutral5k",Santiago,Neutral,Neutral
"Puro pangako, napapako naman: [Entity_A] hits [Entity_B]'s leadership anew","Puro pangako, napapako naman: BINAY hits PNOY's leadership anew","BINAY, PNOY",Negative,Negative
Kung manalo man si [Entity_A] Sana unang patayin nya e yung nagdrudrugs na lumaban pa ng konsehal na kilalang kilala ko. Neutral00% manyak??,Kung manalo man si DUTERTE Sana unang patayin nya e yung nagdrudrugs na lumaban pa ng konsehal na kilalang kilala ko. Neutral00% manyak??,DUTERTE,Negative,Negative
"""Only [Entity_A] touches my skin""dafuq?????","""Only BINAY touches my skin""dafuq?????",BINAY,Negative,Negative
Sanib pwersa naaa! [Entity_A]/[Entity_B]/[Entity_C] vs [Entity_D]. [Entity_D] till the end!,Sanib pwersa naaa! BINAY/ROXAS/POE vs DUTERTE. DUTERTE till the end!,"BINAY, ROXAS, POE, DUTERTE",Positive,Positive
"[Entity_A]: We feel we're in a good place. We have a track record in every town, in every place in the country. |","MAR ROXAS: We feel we're in a good place. We have a track record in every town, in every place in the country. |",MAR ROXAS,Positive,Positive
AMLC finds billions of pesos in '[Entity_A] dummy' accounts,AMLC finds billions of pesos in 'BINAY dummy' accounts,BINAY,Neutral,Negative
"my photo is not as clear as but I definitely read ""[Entity_A]""","my photo is not as clear as but I definitely read ""BINAY""",BINAY,Neutral,Neutral
"grabe, lage nalang napagttripan si [Entity_A]..??","grabe, lage nalang napagttripan si BINAY..??",BINAY,Negative,Negative
"DESPERADO NA SINA [Entity_A], [Entity_B] AT ANG KINGINANG ABS-CBN WAHAHAHA","DESPERADO NA SINA MAR ROXAS, TRILLANES AT ANG KINGINANG ABS-CBN WAHAHAHA","MAR ROXAS, TRILLANES",Negative,Negative
Cara Kendall On PH Positive0Neutral6 Only [Entity_A] Ateneo,Cara Kendall On PH Positive0Neutral6 Only BINAY Ateneo,BINAY,Neutral,Positive
RT 6 Reasons Why [Entity_A] could Win the Positive0Neutral6 Presidential Election,RT 6 Reasons Why BINAY could Win the Positive0Neutral6 Presidential Election,BINAY,Neutral,Positive
khit ganun p man No.Neutral fan prn aq ng KathNiel nding ndi mwwla un.peru sori to [Entity_A].,khit ganun p man No.Neutral fan prn aq ng KathNiel nding ndi mwwla un.peru sori to MAR ROXAS.,MAR ROXAS,Negative,Negative
"Maka hugot ka, ha. Lagot ka kay [Entity_A]. ??","Maka hugot ka, ha. Lagot ka kay MAR ROXAS. ??",MAR ROXAS,Neutral,Negative
"[Entity_A] votes went to [Entity_B]?...See, even the VCMachines rejected him!","DUTERTE votes went to ROXAS?...See, even the VCMachines rejected him!","DUTERTE, ROXAS",Negative,Negative
4 reasons why [Entity_A] will not win the Positive0Neutral6 Philippine presidential elections - Get Real Post,4 reasons why MAR ROXAS will not win the Positive0Neutral6 Philippine presidential elections - Get Real Post,MAR ROXAS,Negative,Negative
Omg ang scary nung video na sumasayaw si [Entity_A] WTF,Omg ang scary nung video na sumasayaw si BINAY WTF,BINAY,Negative,Negative
Just look at the combined votes of [Entity_A] tandem as compared to [Entity_B].,Just look at the combined votes of ROXAS-POE tandem as compared to DUTERTE.,"ROXAS-POE, DUTERTE",Negative,Negative
hayaan mo yan sila mga anak ni [Entity_A]! Hahhahahaha,hayaan mo yan sila mga anak ni BINAY! Hahhahahaha,BINAY,Negative,Positive
Si [Entity_A] iboboto ni [Entity_B]....,Si BINAY iboboto ni DUTERTE....,"BINAY, DUTERTE",Neutral,Positive
Abot na abot mo pa ang commercial ni [Entity_A]!! ??????,Abot na abot mo pa ang commercial ni BINAY!! ??????,BINAY,Negative,Positive
[Entity_A] rejects proposed Neutral4 percent VAT |,BINAY rejects proposed Neutral4 percent VAT |,BINAY,Neutral,Negative
Bakit dahil kay [Entity_A]..... nagka-punye punyeta na ang Pilipinas? LECHE. WAG KAMI.,Bakit dahil kay BINAY..... nagka-punye punyeta na ang Pilipinas? LECHE. WAG KAMI.,BINAY,Negative,Negative
